suite	vm	rc	state	wall_s	note
h2-testall-fast	cratonvm	0	PASS	2.4	[2m2026-06-12T03:53:15.894736Z[0m [33m WARN[0m [2mcratonvm_vm::vm::vm_util
h2-testall-fast	hotspot	0	PASS	0.7	00:00.035 total
wildfly-health	cratonvm	0	PASS	30.7	2026-06-12T03:53:31.476901Z  WARN cratonvm_vm::vm::vm_exec: NoSuchMethodError method="java/util/Spliterators$EmptySplite
wildfly-health	hotspot	0	PASS	1.9	RESULT tests=2 failures=0 ignored=0 ms=1417 ok=true
hibernate-smoke	cratonvm	0	PASS	50.2	2026-06-12T03:53:59.861053Z  WARN cratonvm_vm::vm::vm_exec: NoSuchMethodError method="java/util/ServiceLoader$Itr.hasNex
hibernate-smoke	hotspot	0	PASS	3.6	INFO: HHH10001008: Cleaning up connection pool [jdbc:h2:mem:smoke]
elasticsearch-version	cratonvm	0	PASS	17.1	Error
elasticsearch-version	hotspot	0	PASS	1.4	-
gpu-bench-cpu	cratonvm	0	PASS	2.2	[cratonvm] System.exit(0) called — process terminating
gpu-bench-cpu	hotspot	0	PASS	0.3	correctness=OK
gpu-offload-probe	cratonvm	0	PASS	1.9	OUT0=0 OUTN=1048600
gpu-offload-probe	hotspot	0	PASS	0.3	OUT0=0 OUTN=1048600
bc-asn1-regression	cratonvm	0	PASS	48.6	All tests successful.
bc-asn1-regression	hotspot	0	PASS	1.1	All tests successful.
bc-crypto-prng	cratonvm	0	PASS	58.4	All tests successful.
bc-crypto-prng	hotspot	0	PASS	0.8	All tests successful.
commons-math-junit-probe	cratonvm	1	FAIL	3.0	2026-06-12T03:57:02.927028Z  WARN cratonvm_vm::vm::vm_exec: NoSuchMethodError method="java/util/Spliterators$EmptySplite
commons-math-junit-probe	hotspot	-	SKIP	-	CratonVM not PASS
dacapo-avrora	cratonvm	0	PASS	8.3	PASSED
dacapo-avrora	hotspot	127	N/S	1.2	FAILED
pool:kafka-codec	cratonvm	0	PASS	1.97	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:kafka-codec	hotspot	1	REGRESS	0.14	-
pool:spring-boot-run	cratonvm	0	PASS	11.18	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:spring-boot-run	hotspot	1	REGRESS	0.13	-
pool:tomcat-server-info	cratonvm	0	PASS	1.95	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:tomcat-server-info	hotspot	1	REGRESS	0.14	-
