index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	module/spring-boot-health	org.springframework.boot.health.application.DiskSpaceHealthIndicatorTests	craton	on	0	PASS	2.671	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/module_spring-boot-health.org.springframework.boot.health.application.DiskSpaceHealthIndicatorTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/module_spring-boot-health.org.springframework.boot.health.application.DiskSpaceHealthIndicatorTests.err.log	
2	module/spring-boot-liquibase	org.springframework.boot.liquibase.autoconfigure.Liquibase423AutoConfigurationTests	craton	on	0	PASS	6.117	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/module_spring-boot-liquibase.org.springframework.boot.liquibase.autoconfigure.Liquibase423AutoConfigurationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/module_spring-boot-liquibase.org.springframework.boot.liquibase.autoconfigure.Liquibase423AutoConfigurationTests.err.log	
3	test-support/spring-boot-test-support	org.springframework.boot.testsupport.classpath.ModifiedClassPathExtensionOverridesParameterizedTests	craton	on	0	PASS	1.807	2	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/test-support_spring-boot-test-support.org.springframework.boot.testsupport.classpath.ModifiedClassPathExtension-fe760ee1e07b.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/test-support_spring-boot-test-support.org.springframework.boot.testsupport.classpath.ModifiedClassPathExtension-fe760ee1e07b.err.log	
4	test-support/spring-boot-test-support	org.springframework.boot.testsupport.classpath.ModifiedClassPathExtensionOverridesTests	craton	on	0	PASS	1.003	2	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/test-support_spring-boot-test-support.org.springframework.boot.testsupport.classpath.ModifiedClassPathExtension-d45d6d67b931.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/test-support_spring-boot-test-support.org.springframework.boot.testsupport.classpath.ModifiedClassPathExtension-d45d6d67b931.err.log	
5	test-support/spring-boot-test-support	org.springframework.boot.testsupport.classpath.resources.ResourcesTests	craton	on	0	PASS	1.003	12	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/test-support_spring-boot-test-support.org.springframework.boot.testsupport.classpath.resources.ResourcesTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/test-support_spring-boot-test-support.org.springframework.boot.testsupport.classpath.resources.ResourcesTests.err.log	
6	module/spring-boot-kafka	org.springframework.boot.kafka.autoconfigure.KafkaAutoConfigurationIntegrationTests	craton	on	0	PASS	40.811	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/module_spring-boot-kafka.org.springframework.boot.kafka.autoconfigure.KafkaAutoConfigurationIntegrationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s4/all-jit/logs/module_spring-boot-kafka.org.springframework.boot.kafka.autoconfigure.KafkaAutoConfigurationIntegrationTests.err.log	
