index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	configuration-metadata/spring-boot-configuration-metadata-changelog-generator	org.springframework.boot.configurationmetadata.changelog.ChangelogWriterTests	craton	on	1	FAIL	0.649	1	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/configuration-metadata_spring-boot-configuration-metadata-changelog-generator.org.springframework.boot.configur-ef7b0d85d822.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/configuration-metadata_spring-boot-configuration-metadata-changelog-generator.org.springframework.boot.configur-ef7b0d85d822.err.log	    => org.opentest4j.AssertionFailedError: 
2	module/spring-boot-flyway	org.springframework.boot.flyway.autoconfigure.Flyway110AutoConfigurationTests	craton	on	1	FAIL	1.941	1	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/module_spring-boot-flyway.org.springframework.boot.flyway.autoconfigure.Flyway110AutoConfigurationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/module_spring-boot-flyway.org.springframework.boot.flyway.autoconfigure.Flyway110AutoConfigurationTests.err.log	    => java.lang.IllegalStateException: Resolution failed after 5 attempts
3	module/spring-boot-mongodb	org.springframework.boot.mongodb.autoconfigure.MongoReactiveAutoConfigurationTests	craton	on	0	PASS	20.741	20	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/module_spring-boot-mongodb.org.springframework.boot.mongodb.autoconfigure.MongoReactiveAutoConfigurationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/module_spring-boot-mongodb.org.springframework.boot.mongodb.autoconfigure.MongoReactiveAutoConfigurationTests.err.log	
4	loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ExtractCommandTests	craton	on	1	FAIL	1.812	22	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ExtractCommandTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ExtractCommandTests.err.log	    => org.assertj.core.error.AssertJMultipleFailuresError
5	loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ExtractLayersCommandTests	craton	on	1	FAIL	2.214	6	3	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ExtractLayersCommandTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ExtractLayersCommandTests.err.log	    => org.assertj.core.error.AssertJMultipleFailuresError
6	module/spring-boot-jdbc	org.springframework.boot.jdbc.autoconfigure.HikariDataSourceConfigurationTests	craton	on	1	FAIL	26.898	13	3	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/module_spring-boot-jdbc.org.springframework.boot.jdbc.autoconfigure.HikariDataSourceConfigurationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/module_spring-boot-jdbc.org.springframework.boot.jdbc.autoconfigure.HikariDataSourceConfigurationTests.err.log	    => java.lang.IllegalStateException: Resolution failed after 5 attempts
7	loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.HelpCommandTests	craton	on	1	FAIL	1.623	2	2	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.HelpCommandTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.HelpCommandTests.err.log	    => org.opentest4j.AssertionFailedError: 
8	loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ListCommandTests	craton	on	1	FAIL	1.408	1	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ListCommandTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s1/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ListCommandTests.err.log	    => org.opentest4j.AssertionFailedError: 
