"Class","Status","WallSec","Exit","Result"
"OffsetDateTimeTest","TIMEOUT","900,8","-1",""
"ZonedDateTimeTest","TIMEOUT","900,7","-1",""
"OracleInlineMutationStrategyIdTest","PASS","268,7",,"@@RESULT org.hibernate.orm.test.bulkid.OracleInlineMutationStrategyIdTest found=6 started=6 ok=6 failed=0 aborted=0 skipped=0 ms=257156"
"ASTParserLoadingTest","PASS","287,5",,"@@RESULT org.hibernate.orm.test.hql.ASTParserLoadingTest found=106 started=106 ok=106 failed=0 aborted=0 skipped=0 ms=286947"
"LockTest","FAIL","18,5",,"@@RESULT org.hibernate.orm.test.jpa.lock.LockTest found=23 started=15 ok=14 failed=1 aborted=0 skipped=8 ms=17968"
