class	signature
org.hibernate.orm.test.proxy.ProxyClassReuseTest	java.lang.RuntimeException: java.lang.ClassNotFoundException: org.hibernate.orm.test.proxy.ProxyClassReuseTest$ProxyGetter not found
org.hibernate.orm.test.cdi.general.hibernatesearch.delayed.HibernateSearchDelayedCdiSupportTest	org.jboss.weld.exceptions.IllegalArgumentException: WELD-001301: Annotation QualifierInstance {annotationClass=interface jakarta.enterprise.inject.Produces, val
org.hibernate.orm.test.hql.HqlParserMemoryUsageTest	org.junit.platform.commons.JUnitException: Chain of InvocationInterceptors called invocation multiple times instead of just once: org.junit.jupiter.engine.exten
org.hibernate.orm.test.jpa.EntityManagerTest	java.lang.RuntimeException: java.io.StreamCorruptedException: List implementation not in base module.
org.hibernate.orm.test.cdi.converters.standard.CdiHostedConverterTest	java.lang.RuntimeException: Could not configure StandardServiceRegistryBuilder
org.hibernate.orm.test.cdi.general.hibernatesearch.extended.HibernateSearchExtendedCdiSupportTest	org.jboss.weld.exceptions.IllegalArgumentException: WELD-001301: Annotation QualifierInstance {annotationClass=interface jakarta.enterprise.inject.Produces, val
org.hibernate.orm.test.delegation.SessionDelegatorBaseImplTest	org.hibernate.exception.GenericJDBCException: Error executing work [General error: "java.lang.IllegalStateException: IOException: Системе не удает
org.hibernate.orm.test.jpa.cdi.BasicCdiTest	org.jboss.weld.exceptions.IllegalArgumentException: WELD-001301: Annotation QualifierInstance {annotationClass=interface jakarta.enterprise.inject.Produces, val
org.hibernate.orm.test.jpa.transaction.TransactionTimeoutTest	java.lang.AssertionError: 
org.hibernate.orm.test.timestamp.JdbcTimeCustomTimeZoneTest	org.opentest4j.AssertionFailedError: expected: <16:00:00> but was: <00:00:00>
