module	class	vm	rc	state	wall_s	tests	fail	note
core	org.keycloak.util.UriUtilsTest	cratonvm	0	PASS	2.4	2	0	
core	org.keycloak.util.UriUtilsTest	hotspot	0	PASS	0.5	2	0	-
crypto	org.keycloak.crypto.def.test.BCECDSACryptoProviderTest	cratonvm	1	FAIL	9.4	3	3	1) getPublicFromPrivate[0](org.keycloak.crypto.def.test.BCECDSACryptoProviderTest)
crypto	org.keycloak.crypto.def.test.BCECDSACryptoProviderTest	hotspot	0	PASS	1.6	3	0	-
crypto	org.keycloak.crypto.def.test.BCEcdhEsAlgorithmProviderTest	cratonvm	1	FAIL	6.4	2	2	1) encodeDecode(org.keycloak.crypto.def.test.BCEcdhEsAlgorithmProviderTest)
crypto	org.keycloak.crypto.def.test.BCEcdhEsAlgorithmProviderTest	hotspot	0	PASS	2.7	2	0	-
crypto	org.keycloak.crypto.def.test.CryptoPerfTest	cratonvm	0	PASS	2.7	0	0	
crypto	org.keycloak.crypto.def.test.CryptoPerfTest	hotspot	0	PASS	0.5	0	0	-
crypto	org.keycloak.crypto.def.test.DefaultCertificateIdentityExtractorTest	cratonvm	1	FAIL	6.1	5	1	1) testX509SubjectCommonName(org.keycloak.crypto.def.test.DefaultCertificateIdentityExtractorTest)
crypto	org.keycloak.crypto.def.test.DefaultCertificateIdentityExtractorTest	hotspot	0	PASS	1.6	5	0	-
crypto	org.keycloak.crypto.def.test.DefaultCryptoAKPJWKTest	cratonvm	0	PASS	28.6	6	0	
crypto	org.keycloak.crypto.def.test.DefaultCryptoAKPJWKTest	hotspot	0	PASS	2.1	6	0	-
crypto	org.keycloak.crypto.def.test.DefaultCryptoHmacTest	cratonvm	0	PASS	6.1	2	0	
crypto	org.keycloak.crypto.def.test.DefaultCryptoHmacTest	hotspot	0	PASS	2.1	2	0	-
crypto	org.keycloak.crypto.def.test.DefaultCryptoJWETest	cratonvm	1	FAIL	42.3	11	6	1) testRSAOAEP256_A128GCM(org.keycloak.crypto.def.test.DefaultCryptoJWETest)
crypto	org.keycloak.crypto.def.test.DefaultCryptoJWETest	hotspot	0	PASS	4.6	11	0	-
crypto	org.keycloak.crypto.def.test.DefaultCryptoJWKSUtilsTest	cratonvm	1	FAIL	8.0	3	1	1) publicRs256(org.keycloak.crypto.def.test.DefaultCryptoJWKSUtilsTest)
