suite	vm	rc	state	wall_s	note
h2-testall-fast	cratonvm	0	PASS	1.6	[2m2026-06-12T11:27:14.320799Z[0m [33m WARN[0m [2mcratonvm_vm::vm::vm_util
h2-testall-fast	hotspot	0	PASS	0.4	00:00.024 total
wildfly-health	cratonvm	0	PASS	23.2	ERROR [org.jboss.as.controller] WFLYCTL0362: Capabilities required by resource '/subsystem=health' are not available:
wildfly-health	hotspot	0	PASS	2.4	RESULT tests=2 failures=0 ignored=0 ms=1768 ok=true
hibernate-smoke	cratonvm	0	PASS	29.6	2026-06-12T11:27:53.341060Z  WARN cratonvm_vm::vm::vm_exec: NoSuchMethodError method="java/util/ServiceLoader$Itr.hasNex
hibernate-smoke	hotspot	0	PASS	3.6	INFO: HHH10001008: Cleaning up connection pool [jdbc:h2:mem:smoke]
elasticsearch-version	cratonvm	0	PASS	13.7	Error
elasticsearch-version	hotspot	0	PASS	1.8	-
gpu-bench-cpu	cratonvm	0	PASS	2.4	[cratonvm] System.exit(0) called — process terminating
gpu-bench-cpu	hotspot	0	PASS	0.3	correctness=OK
gpu-offload-probe	cratonvm	0	PASS	3.1	OUT0=0 OUTN=1048600
gpu-offload-probe	hotspot	0	PASS	0.3	OUT0=0 OUTN=1048600
bc-asn1-regression	cratonvm	0	PASS	66.3	All tests successful.
bc-asn1-regression	hotspot	0	PASS	1.5	All tests successful.
bc-crypto-prng	cratonvm	1	PASS	7.9	CTRDRBGTest: Okay
bc-crypto-prng	hotspot	0	PASS	1.0	All tests successful.
commons-math-junit-probe	cratonvm	0	PASS	8.9	EXEC_FOUND=4 SUCCEEDED=4 FAILED=0
commons-math-junit-probe	hotspot	0	PASS	0.9	EXEC_FOUND=1 SUCCEEDED=0 FAILED=1
dacapo-avrora	cratonvm	0	PASS	9.8	PASSED
dacapo-avrora	hotspot	127	N/S	1.5	FAILED
pool:kafka-codec	cratonvm	0	PASS	2.37	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:kafka-codec	hotspot	1	REGRESS	0.16	-
pool:spring-boot-run	cratonvm	0	PASS	10.43	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:spring-boot-run	hotspot	1	REGRESS	0.10	-
pool:tomcat-server-info	cratonvm	0	PASS	1.57	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:tomcat-server-info	hotspot	1	REGRESS	0.10	-
