"Class","Status","WallSec","Exit","Result"
"ZonedDateTimeTest","TIMEOUT","900,1","-1",""
"OffsetDateTimeTest","PARTIAL","662,5",,"@@RESULT org.hibernate.orm.test.type.temporal.OffsetDateTimeTest found=488 started=488 ok=324 failed=0 aborted=164 skipped=0 ms=661512"
"LockTest","FAIL","34,4",,"@@RESULT org.hibernate.orm.test.jpa.lock.LockTest found=23 started=15 ok=14 failed=1 aborted=0 skipped=8 ms=33671"
"ASTParserLoadingTest","FAIL","602,1",,"@@RESULT org.hibernate.orm.test.hql.ASTParserLoadingTest found=106 started=106 ok=105 failed=1 aborted=0 skipped=0 ms=601456"
"OracleInlineMutationStrategyIdTest","PASS","428,6",,"@@RESULT org.hibernate.orm.test.bulkid.OracleInlineMutationStrategyIdTest found=6 started=6 ok=6 failed=0 aborted=0 skipped=0 ms=427827"
