index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
11	module/spring-boot-devtools	org.springframework.boot.devtools.restart.classloader.RestartClassLoaderTests	craton	on	1	CRASH	4.917	0	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-devtools.org.springframework.boot.devtools.restart.classloader.RestartC-1c2285f965b8.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-devtools.org.springframework.boot.devtools.restart.classloader.RestartC-1c2285f965b8.err.log	[cratonvm] main-vm run() returned Err: Error in thread "main" linkage error: class format error in org/springframework/boot/devtools/restart/classloader/Sample: defineClass1: not a
12	module/spring-boot-http-client	org.springframework.boot.http.client.SimpleClientHttpRequestFactoryBuilderTests	craton	on	1	FAIL	7.591	19	2	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-http-client.org.springframework.boot.http.client.SimpleClientHttpReques-272f773888aa.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-http-client.org.springframework.boot.http.client.SimpleClientHttpReques-272f773888aa.err.log	    => javax.net.ssl.SSLPeerUnverifiedException: Certificate for <localhost> does not match the installed HostnameVerifier 
13	module/spring-boot-integration	org.springframework.boot.integration.actuate.endpoint.IntegrationGraphEndpointWebIntegrationTests	craton	on	1	FAIL	117.972	6	3	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-integration.org.springframework.boot.integration.actuate.endpoint.Integ-cf6a6f777358.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-integration.org.springframework.boot.integration.actuate.endpoint.Integ-cf6a6f777358.err.log	01:08:26.688 [main] INFO org.springframework.integration.config.DefaultConfiguringBeanFactoryPostProcessor -- No bean named 'errorChannel' has been explicitly defined. Therefore, a
14	module/spring-boot-hibernate	org.springframework.boot.hibernate.autoconfigure.HibernateJpaAutoConfigurationTests	craton	on	1	FAIL	931.151	70	1	0	3	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-hibernate.org.springframework.boot.hibernate.autoconfigure.HibernateJpa-100579f7d4ad.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-hibernate.org.springframework.boot.hibernate.autoconfigure.HibernateJpa-100579f7d4ad.err.log	01:12:53.151 [main] WARN org.springframework.context.annotation.AnnotationConfigApplicationContext -- Exception encountered during context initialization - cancelling refresh attem
15	module/spring-boot-ldap	org.springframework.boot.ldap.autoconfigure.embedded.EmbeddedLdapAutoConfigurationTests	craton	on	1	FAIL	35.974	17	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-ldap.org.springframework.boot.ldap.autoconfigure.embedded.EmbeddedLdapA-3c6a8c4df0c6.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-ldap.org.springframework.boot.ldap.autoconfigure.embedded.EmbeddedLdapA-3c6a8c4df0c6.err.log	01:26:00.837 [main] WARN org.springframework.context.annotation.AnnotationConfigApplicationContext -- Exception encountered during context initialization - cancelling refresh attem
16	module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.JerseyEndpointRequestIntegrationTests	craton	on	1	FAIL	177.113	9	6	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-security.org.springframework.boot.security.autoconfigure.actuate.web.se-a0d9d711811f.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-security.org.springframework.boot.security.autoconfigure.actuate.web.se-a0d9d711811f.err.log	ERROR [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/].[org.glassfish.jersey.server.ResourceConfig]] Servlet.service() for servlet [org.glassfish.jersey.server.Reso
17	module/spring-boot-security-oauth2-resource-server	org.springframework.boot.security.oauth2.server.resource.autoconfigure.OAuth2ResourceServerAutoConfigurationTests	craton	on	1	FAIL	323.450	52	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-security-oauth2-resource-server.org.springframework.boot.security.oauth-2a3a654baeda.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-security-oauth2-resource-server.org.springframework.boot.security.oauth-2a3a654baeda.err.log	01:29:31.930 [main] WARN org.springframework.boot.web.context.servlet.AnnotationConfigServletWebApplicationContext -- Exception encountered during context initialization - cancelli
18	module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.actuate.endpoint.web.WebMvcHealthEndpointAdditionalPathIntegrationTests	craton	on	0	PASS	322.414	8	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-webmvc.org.springframework.boot.webmvc.autoconfigure.actuate.endpoint.w-5454e505205d.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-webmvc.org.springframework.boot.webmvc.autoconfigure.actuate.endpoint.w-5454e505205d.err.log	
19	module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.error.BasicErrorControllerDirectMockMvcTests	craton	on	1	FAIL	82.516	4	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-webmvc.org.springframework.boot.webmvc.autoconfigure.error.BasicErrorCo-b9aa5200ce0f.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-webmvc.org.springframework.boot.webmvc.autoconfigure.error.BasicErrorCo-b9aa5200ce0f.err.log	2026-08-02T01:41:31.948Z  WARN 27428 --- [           main] ConfigServletWebServerApplicationContext : Exception encountered during context initialization - cancelling refresh attem
20	module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.error.BasicErrorControllerIntegrationTests	craton	on	0	PASS	546.384	26	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-webmvc.org.springframework.boot.webmvc.autoconfigure.error.BasicErrorCo-957a1d0f4289.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-webmvc.org.springframework.boot.webmvc.autoconfigure.error.BasicErrorCo-957a1d0f4289.err.log	
21	module/spring-boot-webservices	org.springframework.boot.webservices.client.WebServiceMessageSenderFactoryTests	craton	on	1	FAIL	11.266	7	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-webservices.org.springframework.boot.webservices.client.WebServiceMessa-46dbb26eef18.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-webservices.org.springframework.boot.webservices.client.WebServiceMessa-46dbb26eef18.err.log	    => java.lang.NoClassDefFoundError 
22	core/spring-boot	org.springframework.boot.logging.log4j2.Log4J2LoggingSystemTests	craton	on	1	FAIL	201.498	61	14	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.logging.log4j2.Log4J2LoggingSystemTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.logging.log4j2.Log4J2LoggingSystemTests.err.log	2026-08-02 01:51:29.145 ERROR 23624 --- [           main] o.s.b.l.l.Log4J2LoggingSystemTests       : Hello world 
23	module/spring-boot-cloudfoundry	org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.servlet.CloudFoundryActuatorAutoConfigurationTests	craton	on	1	FAIL	364.883	14	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-cloudfoundry.org.springframework.boot.cloudfoundry.autoconfigure.actuat-7729cc9d2f53.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-cloudfoundry.org.springframework.boot.cloudfoundry.autoconfigure.actuat-7729cc9d2f53.err.log	01:55:43.094 [main] ERROR org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.servlet.SecurityInterceptor -- org.springframework.boot.cloudfoundry.autoconfigure.ac
24	module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests	craton	on	1	FAIL	917.516	113	1	0	2	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-jetty.org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-jetty.org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests.err.log	java.lang.RuntimeException: Planned 
25	module/spring-boot-quartz	org.springframework.boot.quartz.actuate.endpoint.QuartzEndpointWebIntegrationTests	craton	on	1	FAIL	381.712	45	3	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-quartz.org.springframework.boot.quartz.actuate.endpoint.QuartzEndpointW-e3de43e38499.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-quartz.org.springframework.boot.quartz.actuate.endpoint.QuartzEndpointW-e3de43e38499.err.log	02:16:04.134 [main] INFO org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean -- Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFou
26	module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.ManagementWebSecurityAutoConfigurationTests	craton	on	1	FAIL	161.161	10	4	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-security.org.springframework.boot.security.autoconfigure.actuate.web.se-f4cd03f47d82.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-security.org.springframework.boot.security.autoconfigure.actuate.web.se-f4cd03f47d82.err.log	02:22:07.382 [main] INFO org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean -- Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFou
