# class	method	descriptor	kind	registered_by	bucket
# GATED, NOT deletion candidates: this VM ALLOCATES the class, so it reaches
# these registrations through its own instances and no census of JDK images can
# adjudicate them. Split out 2026-08-10 by the class-level fifth-image rule.
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	getAndIncrement	(Ljava/lang/Object;)I	bridge	native-builtins/src/atomic_updater.rs:1114	class-absent
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	getAndSet	(Ljava/lang/Object;I)I	bridge	native-builtins/src/atomic_updater.rs:1088	class-absent
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	lazySet	(Ljava/lang/Object;I)V	bridge	native-builtins/src/atomic_updater.rs:1070	class-absent
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	set	(Ljava/lang/Object;I)V	bridge	native-builtins/src/atomic_updater.rs:1064	class-absent
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	weakCompareAndSet	(Ljava/lang/Object;II)Z	bridge	native-builtins/src/atomic_updater.rs:1082	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	addAndGet	(Ljava/lang/Object;J)J	bridge	native-builtins/src/atomic_updater.rs:1246	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	compareAndSet	(Ljava/lang/Object;JJ)Z	bridge	native-builtins/src/atomic_updater.rs:1205	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	decrementAndGet	(Ljava/lang/Object;)J	bridge	native-builtins/src/atomic_updater.rs:1258	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	get	(Ljava/lang/Object;)J	bridge	native-builtins/src/atomic_updater.rs:1187	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	getAndAdd	(Ljava/lang/Object;J)J	bridge	native-builtins/src/atomic_updater.rs:1223	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	getAndDecrement	(Ljava/lang/Object;)J	bridge	native-builtins/src/atomic_updater.rs:1240	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	getAndIncrement	(Ljava/lang/Object;)J	bridge	native-builtins/src/atomic_updater.rs:1234	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	getAndSet	(Ljava/lang/Object;J)J	bridge	native-builtins/src/atomic_updater.rs:1217	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	incrementAndGet	(Ljava/lang/Object;)J	bridge	native-builtins/src/atomic_updater.rs:1252	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	lazySet	(Ljava/lang/Object;J)V	bridge	native-builtins/src/atomic_updater.rs:1199	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	set	(Ljava/lang/Object;J)V	bridge	native-builtins/src/atomic_updater.rs:1193	class-absent
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	weakCompareAndSet	(Ljava/lang/Object;JJ)Z	bridge	native-builtins/src/atomic_updater.rs:1211	class-absent
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	compareAndSet	(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z	bridge	native-builtins/src/atomic_updater.rs:998	class-absent
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	get	(Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/atomic_updater.rs:980	class-absent
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	getAndSet	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/atomic_updater.rs:1010	class-absent
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	getAndUpdate	(Ljava/lang/Object;Ljava/util/function/UnaryOperator;)Ljava/lang/Object;	bridge	native-builtins/src/atomic_updater.rs:1016	class-absent
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	lazySet	(Ljava/lang/Object;Ljava/lang/Object;)V	bridge	native-builtins/src/atomic_updater.rs:992	class-absent
