# jdk-baseline	2
# kind	class
# name	java.lang.Module
# module	java.base
# java.version	25.0.3
# java.vm.version	25.0.3+9-LTS
# java.vendor.version	Microsoft-13877124
# source	jrt:/modules/java.base/java/lang/Module.class
# generator	scripts/jdk-baseline/generate.py
# regenerate	python scripts/jdk-baseline/generate.py --update
# public-methods	22
# protected-methods	0
# declared-methods	69
# declared-fields	14
# rows	89
# columns	kind	name	descriptor	flags
CLASS	java.lang.Module		public,final
FIELD	ALL_UNNAMED_MODULE	Ljava/lang/Module;	private,static,final
FIELD	ALL_UNNAMED_MODULE_SET	Ljava/util/Set;	private,static,final
FIELD	EVERYONE_MODULE	Ljava/lang/Module;	private,static,final
FIELD	EVERYONE_SET	Ljava/util/Set;	private,static,final
FIELD	descriptor	Ljava/lang/module/ModuleDescriptor;	private,final
FIELD	enableNativeAccess	Z	private
FIELD	exportedPackages	Ljava/util/Map;	private,volatile
FIELD	layer	Ljava/lang/ModuleLayer;	private,final
FIELD	loader	Ljava/lang/ClassLoader;	private,final
FIELD	moduleInfoClass	Ljava/lang/Class;	private,volatile
FIELD	name	Ljava/lang/String;	private,final
FIELD	openPackages	Ljava/util/Map;	private,volatile
FIELD	reads	Ljava/util/Set;	private,volatile
