# class	method	descriptor	kind	registered_by	bucket
java/lang/invoke/MethodHandleImpl$1	makeClassValueMap	()Ljava/util/Map;	bridge	native-builtins/src/shared_secrets_bridge.rs:1612	method-nowhere
java/lang/invoke/MethodHandleNatives	getConstant	(I)I	bridge	native-builtins/src/lib.rs:16623	method-nowhere
java/lang/invoke/MethodHandleNatives	linkCallSite	(Ljava/lang/Object;ILjava/lang/invoke/MemberName;Ljava/lang/Object;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/invoke/MemberName;	bridge	native-builtins/src/lib.rs:16630	method-nowhere
java/lang/management/ClassLoadingMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:5351	method-nowhere
java/lang/management/CompilationMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:5510	method-nowhere
java/lang/management/GarbageCollectorMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:5676	method-nowhere
java/lang/management/MemoryMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:4188	method-nowhere
java/lang/management/OperatingSystemMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:5440	method-nowhere
java/lang/management/PlatformLoggingMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:3941	method-nowhere
java/lang/management/RuntimeMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:3725	method-nowhere
java/lang/management/ThreadMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:4933	method-nowhere
java/lang/module/ResolvedModule	getDescriptor	()Ljava/lang/module/ModuleDescriptor;	bridge	native-builtins/src/jboss_jdkspecific.rs:1912	method-nowhere
java/lang/reflect/ReflectAccess	newAccessibleObject	()Ljava/lang/reflect/AccessibleObject;	bridge	native-builtins/src/shared_secrets_bridge.rs:1735	method-nowhere
java/lang/reflect/ReflectAccess	newParameter	(Ljava/lang/reflect/Executable;ILjava/lang/String;I)Ljava/lang/reflect/Parameter;	bridge	native-builtins/src/shared_secrets_bridge.rs:1729	method-nowhere
java/lang/reflect/TypeVariable	equals	(Ljava/lang/Object;)Z	bridge	native-builtins/src/lang_reflect.rs:2919	method-nowhere
java/lang/reflect/TypeVariable	hashCode	()I	bridge	native-builtins/src/lang_reflect.rs:2977	method-nowhere
java/lang/reflect/TypeVariable	toString	()Ljava/lang/String;	bridge	native-builtins/src/lang_reflect.rs:2884	method-nowhere
java/net/Inet4AddressImpl	init	()V	bridge	native-builtins/src/inet_address.rs:572	method-nowhere
java/net/Inet4AddressImpl	isReachable0	([BII)Z	bridge	native-builtins/src/inet_address.rs:567	method-nowhere
java/net/Inet4AddressImpl	isReachable0	([BII[BI)Z	bridge	native-builtins/src/inet_address.rs:566	method-nowhere
java/net/Inet6AddressImpl	init	()V	bridge	native-builtins/src/inet_address.rs:602	method-nowhere
java/net/Inet6AddressImpl	lookupAllHostAddr	(Ljava/lang/String;)[Ljava/net/InetAddress;	bridge	native-builtins/src/inet_address.rs:575	method-nowhere
java/net/InetAddress	getHostByAddr	([B)Ljava/lang/String;	bridge	native-builtins/src/inet_address.rs:619	method-nowhere
java/net/InetAddress	lookupAllHostAddr	(Ljava/lang/String;)[Ljava/net/InetAddress;	bridge	native-builtins/src/inet_address.rs:613	method-nowhere
java/net/InetAddress$1	getHostFromNameService	(Ljava/net/InetAddress;Z)Ljava/lang/String;	bridge	native-builtins/src/shared_secrets_bridge.rs:2000	method-nowhere
java/nio/Bits	getMaxDirectMemory	()J	bridge	native-io/src/direct_buffer.rs:1802	method-nowhere
java/nio/Bits	reserveMemory	(JI)V	bridge	native-io/src/direct_buffer.rs:1784	method-nowhere
java/nio/Bits	unreserveMemory	(JI)V	bridge	native-io/src/direct_buffer.rs:1796	method-nowhere
java/nio/Buffer$1	getDirectBufferPool	()Ljdk/internal/misc/VM$BufferPool;	bridge	native-builtins/src/shared_secrets_bridge.rs:2351	method-nowhere
java/nio/Buffer$1	scaleShifts	(Ljava/nio/Buffer;)I	bridge	native-builtins/src/shared_secrets_bridge.rs:2313	method-nowhere
java/nio/Buffer$2	acquireSession	(Ljava/nio/Buffer;)Ljava/lang/foreign/MemorySegment$Scope;	bridge	native-builtins/src/shared_secrets_bridge.rs:2261	method-nowhere
java/nio/Buffer$2	getBufferPool	()Ljava/lang/management/BufferPoolMXBean;	bridge	native-builtins/src/shared_secrets_bridge.rs:2240	method-nowhere
java/nio/ByteOrder	BIG_ENDIAN	Ljava/nio/ByteOrder;	bridge	native-builtins/src/servlet.rs:6589	method-nowhere
java/nio/ByteOrder	LITTLE_ENDIAN	Ljava/nio/ByteOrder;	bridge	native-builtins/src/servlet.rs:6592	method-nowhere
java/nio/DirectByteBuffer	allocateDirect0	(I)Ljava/nio/ByteBuffer;	bridge	native-io/src/direct_buffer.rs:1820	method-nowhere
java/nio/DirectByteBuffer	cleanNative0	()V	bridge	native-io/src/direct_buffer.rs:1897	method-nowhere
java/nio/DirectByteBuffer	freeMemoryExplicit	(JJ)V	bridge	native-io/src/direct_buffer.rs:1938	method-nowhere
java/nio/DoubleBuffer	array	()[I	bridge	native-builtins/src/servlet.rs:5916	method-nowhere
java/nio/FloatBuffer	array	()[I	bridge	native-builtins/src/servlet.rs:5916	method-nowhere
java/nio/HeapByteBuffer	<init>	([BIILjdk/internal/access/foreign/MemorySegmentProxy;)V	bridge	native-builtins/src/messaging_shims.rs:2044	method-nowhere
java/nio/LongBuffer	array	()[I	bridge	native-builtins/src/servlet.rs:5916	method-nowhere
java/nio/MappedByteBuffer	unmap0	()V	bridge	native-io/src/lib.rs:16521	method-nowhere
java/nio/ShortBuffer	array	()[I	bridge	native-builtins/src/servlet.rs:5916	method-nowhere
java/nio/channels/AsynchronousServerSocketChannel	localAddress	()Ljava/net/SocketAddress;	bridge	native-io/src/async_socket.rs:3253	method-nowhere
java/nio/channels/DatagramChannel	bind	(Ljava/net/SocketAddress;)V	bridge	native-io/src/lib.rs:19147	method-nowhere
java/nio/channels/DatagramChannel	bind	(Ljava/net/SocketAddress;)V	bridge	native-io/src/lib.rs:19147	method-nowhere
java/nio/channels/DatagramChannel	setReceiveBufferSize	(I)V	bridge	native-io/src/lib.rs:19063	method-nowhere
java/nio/channels/DatagramChannel	setReceiveBufferSize	(I)V	bridge	native-io/src/lib.rs:19063	method-nowhere
java/nio/channels/DatagramChannel	setReuseAddress	(Z)V	bridge	native-io/src/lib.rs:19071	method-nowhere
java/nio/channels/DatagramChannel	setReuseAddress	(Z)V	bridge	native-io/src/lib.rs:19071	method-nowhere
java/nio/channels/DatagramChannel	setSendBufferSize	(I)V	bridge	native-io/src/lib.rs:19055	method-nowhere
java/nio/channels/DatagramChannel	setSendBufferSize	(I)V	bridge	native-io/src/lib.rs:19055	method-nowhere
java/nio/channels/DatagramChannel	setSoTimeout	(I)V	bridge	native-io/src/lib.rs:19085	method-nowhere
java/nio/channels/DatagramChannel	setSoTimeout	(I)V	bridge	native-io/src/lib.rs:19085	method-nowhere
java/nio/channels/DatagramChannel	setTrafficClass	(I)V	bridge	native-io/src/lib.rs:19129	method-nowhere
java/nio/channels/DatagramChannel	setTrafficClass	(I)V	bridge	native-io/src/lib.rs:19129	method-nowhere
java/nio/channels/FileChannel	unmap0	(Ljava/nio/MappedByteBuffer;)V	bridge	native-io/src/lib.rs:16513	method-nowhere
java/nio/channels/SelectableChannel	register0	(Ljava/nio/channels/Selector;ILjava/lang/Object;)Ljava/nio/channels/SelectionKey;	bridge	native-io/src/nio_selector.rs:3673	method-nowhere
java/nio/channels/Selector	lockAndDoSelect	(Ljava/util/function/Consumer;J)I	bridge	native-io/src/nio_selector.rs:3794	method-nowhere
java/nio/channels/ServerSocketChannel	blockingAccept	(J)Ljava/nio/channels/SocketChannel;	bridge	native-io/src/socket_channel.rs:4814	method-nowhere
java/nio/channels/ServerSocketChannel	configureBlocking	(Z)Ljava/nio/channels/spi/AbstractSelectableChannel;	bridge	native-io/src/socket_channel.rs:4763	method-nowhere
java/nio/channels/ServerSocketChannel	isBound	()Z	bridge	native-io/src/socket_channel.rs:4756	method-nowhere
java/nio/channels/ServerSocketChannel	localAddress	()Ljava/net/SocketAddress;	bridge	native-io/src/socket_channel.rs:4861	method-nowhere
java/nio/channels/SocketChannel	blockingConnect	(Ljava/net/SocketAddress;J)V	bridge	native-io/src/socket_channel.rs:4645	method-nowhere
java/nio/channels/SocketChannel	blockingRead	([BIIJ)I	bridge	native-io/src/socket_channel.rs:4676	method-nowhere
java/nio/channels/SocketChannel	blockingWriteFully	([BII)V	bridge	native-io/src/socket_channel.rs:4677	method-nowhere
java/nio/channels/SocketChannel	configureBlocking	(Z)Ljava/nio/channels/spi/AbstractSelectableChannel;	bridge	native-io/src/socket_channel.rs:4609	method-nowhere
java/nio/channels/SocketChannel	isInputOpen	()Z	bridge	native-io/src/socket_channel.rs:4653	method-nowhere
java/nio/channels/SocketChannel	isOutputOpen	()Z	bridge	native-io/src/socket_channel.rs:4656	method-nowhere
java/nio/channels/SocketChannel	localAddress	()Ljava/net/SocketAddress;	bridge	native-io/src/socket_channel.rs:4591	method-nowhere
java/nio/channels/SocketChannel	remoteAddress	()Ljava/net/SocketAddress;	bridge	native-io/src/socket_channel.rs:4597	method-nowhere
java/nio/file/FileVisitResult	CONTINUE	Ljava/nio/file/FileVisitResult;	bridge	native-builtins/src/phases_late/nio_file.rs:5227	method-nowhere
java/nio/file/FileVisitResult	SKIP_SIBLINGS	Ljava/nio/file/FileVisitResult;	bridge	native-builtins/src/phases_late/nio_file.rs:5245	method-nowhere
java/nio/file/FileVisitResult	SKIP_SUBTREE	Ljava/nio/file/FileVisitResult;	bridge	native-builtins/src/phases_late/nio_file.rs:5239	method-nowhere
java/nio/file/FileVisitResult	TERMINATE	Ljava/nio/file/FileVisitResult;	bridge	native-builtins/src/phases_late/nio_file.rs:5233	method-nowhere
java/nio/file/Paths	get	(Ljava/lang/String;)Ljava/nio/file/Path;	bridge	native-io/src/lib.rs:11229	method-nowhere
java/nio/file/StandardOpenOption	APPEND	Ljava/nio/file/StandardOpenOption;	bridge	native-builtins/src/phases_late/nio_file.rs:5266	method-nowhere
java/nio/file/StandardOpenOption	CREATE	Ljava/nio/file/StandardOpenOption;	bridge	native-builtins/src/phases_late/nio_file.rs:5272	method-nowhere
java/nio/file/StandardOpenOption	CREATE_NEW	Ljava/nio/file/StandardOpenOption;	bridge	native-builtins/src/phases_late/nio_file.rs:5278	method-nowhere
java/nio/file/StandardOpenOption	READ	Ljava/nio/file/StandardOpenOption;	bridge	native-builtins/src/phases_late/nio_file.rs:5254	method-nowhere
java/nio/file/StandardOpenOption	TRUNCATE_EXISTING	Ljava/nio/file/StandardOpenOption;	bridge	native-builtins/src/phases_late/nio_file.rs:5284	method-nowhere
java/nio/file/StandardOpenOption	WRITE	Ljava/nio/file/StandardOpenOption;	bridge	native-builtins/src/phases_late/nio_file.rs:5260	method-nowhere
java/nio/file/StandardWatchEventKinds	ENTRY_CREATE	()Ljava/nio/file/WatchEvent$Kind;	bridge	native-io/src/lib.rs:18129	method-nowhere
java/nio/file/StandardWatchEventKinds	ENTRY_DELETE	()Ljava/nio/file/WatchEvent$Kind;	bridge	native-io/src/lib.rs:18135	method-nowhere
java/nio/file/StandardWatchEventKinds	ENTRY_MODIFY	()Ljava/nio/file/WatchEvent$Kind;	bridge	native-io/src/lib.rs:18141	method-nowhere
java/nio/file/attribute/PosixFilePermission	GROUP_EXECUTE	Ljava/nio/file/attribute/PosixFilePermission;	bridge	native-builtins/src/phases_late/nio_file.rs:18662	method-nowhere
java/nio/file/attribute/PosixFilePermission	GROUP_READ	Ljava/nio/file/attribute/PosixFilePermission;	bridge	native-builtins/src/phases_late/nio_file.rs:18636	method-nowhere
java/nio/file/attribute/PosixFilePermission	GROUP_WRITE	Ljava/nio/file/attribute/PosixFilePermission;	bridge	native-builtins/src/phases_late/nio_file.rs:18649	method-nowhere
java/nio/file/attribute/PosixFilePermission	OTHERS_EXECUTE	Ljava/nio/file/attribute/PosixFilePermission;	bridge	native-builtins/src/phases_late/nio_file.rs:18701	method-nowhere
java/nio/file/attribute/PosixFilePermission	OTHERS_READ	Ljava/nio/file/attribute/PosixFilePermission;	bridge	native-builtins/src/phases_late/nio_file.rs:18675	method-nowhere
java/nio/file/attribute/PosixFilePermission	OTHERS_WRITE	Ljava/nio/file/attribute/PosixFilePermission;	bridge	native-builtins/src/phases_late/nio_file.rs:18688	method-nowhere
java/nio/file/attribute/PosixFilePermission	OWNER_EXECUTE	Ljava/nio/file/attribute/PosixFilePermission;	bridge	native-builtins/src/phases_late/nio_file.rs:18623	method-nowhere
java/nio/file/attribute/PosixFilePermission	OWNER_READ	Ljava/nio/file/attribute/PosixFilePermission;	bridge	native-builtins/src/phases_late/nio_file.rs:18597	method-nowhere
java/nio/file/attribute/PosixFilePermission	OWNER_WRITE	Ljava/nio/file/attribute/PosixFilePermission;	bridge	native-builtins/src/phases_late/nio_file.rs:18610	method-nowhere
java/security/Permission	<init>	(Ljava/lang/String;Ljava/lang/String;)V	bridge	native-builtins/src/lib.rs:8127	method-nowhere
java/security/Provider	parseLegacyPut	(Ljava/lang/String;Ljava/lang/String;)V	bridge	native-builtins/src/jca/provider_chain.rs:3192	method-nowhere
java/security/Provider$EngineDescription	<clinit>	()V	bridge	native-builtins/src/jca/provider_chain.rs:3129	method-nowhere
java/security/Provider$ServiceKey	<clinit>	()V	bridge	native-builtins/src/jca/provider_chain.rs:3123	method-nowhere
java/sql/Types	BIGINT	I	bridge	native-builtins/src/phases_late/jdbc.rs:3127	method-nowhere
java/sql/Types	BLOB	I	bridge	native-builtins/src/phases_late/jdbc.rs:3133	method-nowhere
java/sql/Types	BOOLEAN	I	bridge	native-builtins/src/phases_late/jdbc.rs:3130	method-nowhere
java/sql/Types	CLOB	I	bridge	native-builtins/src/phases_late/jdbc.rs:3134	method-nowhere
java/sql/Types	DATE	I	bridge	native-builtins/src/phases_late/jdbc.rs:3139	method-nowhere
java/sql/Types	DOUBLE	I	bridge	native-builtins/src/phases_late/jdbc.rs:3128	method-nowhere
java/sql/Types	FLOAT	I	bridge	native-builtins/src/phases_late/jdbc.rs:3129	method-nowhere
java/sql/Types	INTEGER	I	bridge	native-builtins/src/phases_late/jdbc.rs:3123	method-nowhere
java/sql/Types	NULL	I	bridge	native-builtins/src/phases_late/jdbc.rs:3135	method-nowhere
java/sql/Types	TIMESTAMP	I	bridge	native-builtins/src/phases_late/jdbc.rs:3136	method-nowhere
java/sql/Types	VARCHAR	I	bridge	native-builtins/src/phases_late/jdbc.rs:3124	method-nowhere
java/util/HashSet	comparator	()Ljava/util/Comparator;	bridge	native-collections/src/lib.rs:2353	method-nowhere
java/util/LinkedHashSet	comparator	()Ljava/util/Comparator;	bridge	native-collections/src/lib.rs:2353	method-nowhere
java/util/Locale	CANADA	Ljava/util/Locale;	bridge	native-builtins/src/lib.rs:18815	method-nowhere
java/util/Locale	CANADA_FRENCH	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1390	method-nowhere
java/util/Locale	CHINA	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1387	method-nowhere
java/util/Locale	CHINESE	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1398	method-nowhere
java/util/Locale	ENGLISH	Ljava/util/Locale;	bridge	native-builtins/src/lib.rs:18803	method-nowhere
java/util/Locale	FRANCE	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1382	method-nowhere
java/util/Locale	FRENCH	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1393	method-nowhere
java/util/Locale	GERMAN	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1394	method-nowhere
java/util/Locale	GERMANY	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1383	method-nowhere
java/util/Locale	ITALIAN	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1395	method-nowhere
java/util/Locale	ITALY	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1384	method-nowhere
java/util/Locale	JAPAN	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1385	method-nowhere
java/util/Locale	JAPANESE	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1396	method-nowhere
java/util/Locale	KOREA	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1386	method-nowhere
java/util/Locale	KOREAN	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1397	method-nowhere
java/util/Locale	PRC	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1388	method-nowhere
java/util/Locale	ROOT	Ljava/util/Locale;	bridge	native-builtins/src/lib.rs:18797	method-nowhere
java/util/Locale	SIMPLIFIED_CHINESE	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1391	method-nowhere
java/util/Locale	TAIWAN	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1389	method-nowhere
java/util/Locale	TRADITIONAL_CHINESE	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1392	method-nowhere
java/util/Locale	UK	Ljava/util/Locale;	bridge	native-builtins/src/locale_bootstrap.rs:1381	method-nowhere
java/util/Locale	US	Ljava/util/Locale;	bridge	native-builtins/src/lib.rs:18809	method-nowhere
java/util/SimpleTimeZone	getOffsetsByWall	(J[I)I	bridge	native-builtins/src/lib.rs:20087	method-nowhere
java/util/TimeZone	getOffsetsByWall	(J[I)I	bridge	native-builtins/src/lib.rs:20087	method-nowhere
java/util/TreeMap	iterator	()Ljava/util/Iterator;	bridge	native-collections/src/lib.rs:41434	method-nowhere
java/util/concurrent/CopyOnWriteArraySet	<init>	(I)V	bridge	native-collections/src/lib.rs:12073	method-nowhere
java/util/concurrent/CopyOnWriteArraySet	<init>	(IF)V	bridge	native-collections/src/lib.rs:12074	method-nowhere
java/util/jar/Attributes$Name	MAIN_CLASS	Ljava/util/jar/Attributes$Name;	bridge	native-builtins/src/lib.rs:8434	method-nowhere
java/util/jar/Attributes$Name	MAIN_CLASS	Ljava/util/jar/Attributes$Name;	bridge	native-builtins/src/phases_late/jar_manifest.rs:746	method-nowhere
java/util/jar/Attributes$Name	MANIFEST_VERSION	Ljava/util/jar/Attributes$Name;	bridge	native-builtins/src/lib.rs:8428	method-nowhere
java/util/jar/Attributes$Name	MANIFEST_VERSION	Ljava/util/jar/Attributes$Name;	bridge	native-builtins/src/phases_late/jar_manifest.rs:730	method-nowhere
java/util/logging/Logger	log	(Ljava/util/logging/Level;Ljava/util/function/Supplier;Ljava/lang/Throwable;)V	bridge	native-builtins/src/logmanager.rs:6164	method-nowhere
java/util/stream/DoubleStream	onClose	(Ljava/lang/Runnable;)Ljava/util/stream/DoubleStream;	bridge	native-builtins/src/streams.rs:200	method-nowhere
java/util/stream/DoubleStream	onClose	(Ljava/lang/Runnable;)Ljava/util/stream/DoubleStream;	bridge	native-collections/src/lib.rs:18745	method-nowhere
java/util/stream/DoubleStream	unordered	()Ljava/util/stream/DoubleStream;	bridge	native-builtins/src/streams.rs:192	method-nowhere
java/util/stream/IntStream	onClose	(Ljava/lang/Runnable;)Ljava/util/stream/IntStream;	bridge	native-builtins/src/streams.rs:200	method-nowhere
java/util/stream/IntStream	onClose	(Ljava/lang/Runnable;)Ljava/util/stream/IntStream;	bridge	native-collections/src/lib.rs:18745	method-nowhere
java/util/stream/IntStream	unordered	()Ljava/util/stream/IntStream;	bridge	native-builtins/src/streams.rs:192	method-nowhere
java/util/stream/LongStream	onClose	(Ljava/lang/Runnable;)Ljava/util/stream/LongStream;	bridge	native-builtins/src/streams.rs:200	method-nowhere
java/util/stream/LongStream	onClose	(Ljava/lang/Runnable;)Ljava/util/stream/LongStream;	bridge	native-collections/src/lib.rs:18745	method-nowhere
java/util/stream/LongStream	unordered	()Ljava/util/stream/LongStream;	bridge	native-builtins/src/streams.rs:192	method-nowhere
java/util/stream/Stream	onClose	(Ljava/lang/Runnable;)Ljava/util/stream/Stream;	bridge	native-builtins/src/streams.rs:200	method-nowhere
java/util/stream/Stream	onClose	(Ljava/lang/Runnable;)Ljava/util/stream/Stream;	bridge	native-collections/src/lib.rs:18745	method-nowhere
java/util/stream/Stream	parallel	()Ljava/util/stream/Stream;	bridge	native-builtins/src/streams.rs:191	method-nowhere
java/util/stream/Stream	sequential	()Ljava/util/stream/Stream;	bridge	native-builtins/src/streams.rs:185	method-nowhere
java/util/stream/Stream	unordered	()Ljava/util/stream/Stream;	bridge	native-builtins/src/streams.rs:192	method-nowhere
java/util/zip/Deflater	initIDs	()V	bridge	native-builtins/src/zip_real.rs:1200	method-nowhere
java/util/zip/ZipFile	<init>	(Ljava/io/File;Z)V	bridge	native-io/src/zip_real_jar.rs:1116	method-nowhere
java/util/zip/ZipFile	<init>	(Ljava/lang/String;Z)V	bridge	native-io/src/zip_real_jar.rs:1128	method-nowhere
java/util/zip/ZipFile$1	entryLocalNameEncoding	(Ljava/util/zip/ZipEntry;)Z	bridge	native-builtins/src/shared_secrets_bridge.rs:2520	method-nowhere
java/util/zip/ZipFile$1	getEntry	(Ljava/util/zip/ZipFile;Ljava/lang/String;Ljava/util/function/Function;)Ljava/util/zip/ZipEntry;	bridge	native-builtins/src/shared_secrets_bridge.rs:2514	method-nowhere
javax/crypto/spec/GCMParameterSpec	<clinit>	()V	bridge	native-builtins/src/jca/cipher.rs:2316	method-nowhere
javax/crypto/spec/IvParameterSpec	<clinit>	()V	bridge	native-builtins/src/jca/cipher.rs:2296	method-nowhere
javax/management/MBeanServer	<init>	()V	bridge	native-builtins/src/jmx.rs:6248	method-nowhere
javax/management/MBeanServer	<init>	()V	bridge	native-builtins/src/jmx.rs:6248	method-nowhere
javax/management/openmbean/TabularDataSupport	put	(Ljavax/management/openmbean/CompositeData;)Ljavax/management/openmbean/CompositeData;	bridge	native-builtins/src/jmx_openmbean.rs:1660	method-nowhere
javax/swing/JOptionPane	showInputDialog	(Ljava/awt/Component;Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-awt/src/natives.rs:3375	method-nowhere
jdk/internal/access/JavaLangAccess	currentThread0	()Ljava/lang/Thread;	bridge	native-builtins/src/lib.rs:30634	method-nowhere
jdk/internal/access/JavaLangAccess	currentThread0	()Ljava/lang/Thread;	bridge	native-builtins/src/shared_secrets_bridge.rs:1461	method-nowhere
jdk/internal/access/SharedSecrets	getJavaUtilJarAccess	()Ljdk/internal/access/JavaUtilJarAccess;	bridge	native-builtins/src/shared_secrets_bridge.rs:219	method-nowhere
jdk/internal/loader/AbstractClassLoaderValue	remove	(Ljava/lang/ClassLoader;)Ljava/lang/Object;	bridge	native-builtins/src/classloader_value_sidetable.rs:289	method-nowhere
jdk/internal/loader/URLClassPath	closeLoaders	()V	bridge	native-builtins/src/classloader.rs:5833	method-nowhere
jdk/internal/loader/URLClassPath	getURLs	(Z)[Ljava/net/URL;	bridge	native-builtins/src/classloader.rs:5825	method-nowhere
jdk/internal/misc/Signal	handle	(Ljdk/internal/misc/Signal;Ljdk/internal/misc/SignalHandler;)Ljdk/internal/misc/SignalHandler;	bridge	native-builtins/src/deprecated_internal.rs:1534	method-nowhere
jdk/internal/misc/Signal	handle	(Ljdk/internal/misc/Signal;Ljdk/internal/misc/SignalHandler;)Ljdk/internal/misc/SignalHandler;	bridge	native-builtins/src/deprecated_internal.rs:1534	method-nowhere
jdk/internal/misc/Signal	number	(Ljava/lang/String;)I	bridge	native-builtins/src/deprecated_internal.rs:1599	method-nowhere
jdk/internal/misc/Signal	number	(Ljava/lang/String;)I	bridge	native-builtins/src/deprecated_internal.rs:1599	method-nowhere
jdk/internal/misc/Unsafe	acquireFence	()V	bridge	native-builtins/src/unsafe_natives.rs:2014	method-nowhere
jdk/internal/misc/Unsafe	addressSize0	()I	bridge	native-builtins/src/unsafe_jdk25.rs:229	method-nowhere
jdk/internal/misc/Unsafe	addressSize0	()I	bridge	native-builtins/src/unsafe_jdk25.rs:229	method-nowhere
jdk/internal/misc/Unsafe	defineAnonymousClass	(Ljava/lang/Class;[B[Ljava/lang/Object;)Ljava/lang/Class;	bridge	native-builtins/src/unsafe_natives_ext.rs:1531	method-nowhere
jdk/internal/misc/Unsafe	getReferencePlain	(Ljava/lang/Object;J)Ljava/lang/Object;	bridge	native-builtins/src/unsafe_natives.rs:2021	method-nowhere
jdk/internal/misc/Unsafe	isBigEndian0	()Z	bridge	native-builtins/src/unsafe_jdk25.rs:230	method-nowhere
jdk/internal/misc/Unsafe	isBigEndian0	()Z	bridge	native-builtins/src/unsafe_jdk25.rs:230	method-nowhere
jdk/internal/misc/Unsafe	monitorEnter	(Ljava/lang/Object;)V	bridge	native-builtins/src/unsafe_natives_ext.rs:1295	method-nowhere
jdk/internal/misc/Unsafe	monitorExit	(Ljava/lang/Object;)V	bridge	native-builtins/src/unsafe_natives_ext.rs:1301	method-nowhere
jdk/internal/misc/Unsafe	park	(Ljava/lang/Object;J)V	bridge	native-builtins/src/unsafe_natives.rs:1796	method-nowhere
jdk/internal/misc/Unsafe	putReferencePlain	(Ljava/lang/Object;JLjava/lang/Object;)V	bridge	native-builtins/src/unsafe_natives.rs:2027	method-nowhere
jdk/internal/misc/Unsafe	releaseFence	()V	bridge	native-builtins/src/unsafe_natives.rs:2015	method-nowhere
jdk/internal/misc/Unsafe	unalignedAccess0	()Z	bridge	native-builtins/src/unsafe_jdk25.rs:231	method-nowhere
jdk/internal/misc/Unsafe	unalignedAccess0	()Z	bridge	native-builtins/src/unsafe_jdk25.rs:231	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeInt	(Ljava/lang/Object;JII)I	bridge	native-builtins/src/unsafe_natives.rs:2075	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeIntAcquire	(Ljava/lang/Object;JII)I	bridge	native-builtins/src/unsafe_natives.rs:2075	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeIntRelease	(Ljava/lang/Object;JII)I	bridge	native-builtins/src/unsafe_natives.rs:2075	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeLong	(Ljava/lang/Object;JJJ)J	bridge	native-builtins/src/unsafe_natives.rs:2095	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeLongAcquire	(Ljava/lang/Object;JJJ)J	bridge	native-builtins/src/unsafe_natives.rs:2095	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeLongRelease	(Ljava/lang/Object;JJJ)J	bridge	native-builtins/src/unsafe_natives.rs:2095	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeObject	(Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/unsafe_natives.rs:2119	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeReference	(Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/unsafe_natives.rs:2119	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeReferenceAcquire	(Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/unsafe_natives.rs:2119	method-nowhere
jdk/internal/misc/Unsafe	weakCompareAndExchangeReferenceRelease	(Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/unsafe_natives.rs:2119	method-nowhere
jdk/internal/net/http/Http1Exchange	writeRequest	([B)V	bridge	native-builtins/src/http_client.rs:1689	method-nowhere
jdk/internal/net/http/Http1HeaderParser	parse	([B)Z	bridge	native-builtins/src/http_client.rs:1709	method-nowhere
