# class	method	descriptor	kind	registered_by	bucket
java/lang/AbstractStringBuilder	append	([CII)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:314	method-nowhere
java/lang/AbstractStringBuilder	append	([CII)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:308	method-nowhere
java/lang/AbstractStringBuilder	appendCodePoint	(I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:269	method-nowhere
java/lang/AbstractStringBuilder	appendCodePoint	(I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:514	method-nowhere
java/lang/AbstractStringBuilder	appendCodePoint	(I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:263	method-nowhere
java/lang/AbstractStringBuilder	appendCodePoint	(I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:508	method-nowhere
java/lang/AbstractStringBuilder	delete	(II)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:632	method-nowhere
java/lang/AbstractStringBuilder	delete	(II)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:626	method-nowhere
java/lang/AbstractStringBuilder	deleteCharAt	(I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:644	method-nowhere
java/lang/AbstractStringBuilder	deleteCharAt	(I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:638	method-nowhere
java/lang/AbstractStringBuilder	insert	(IC)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:560	method-nowhere
java/lang/AbstractStringBuilder	insert	(IC)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:554	method-nowhere
java/lang/AbstractStringBuilder	insert	(II)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:572	method-nowhere
java/lang/AbstractStringBuilder	insert	(II)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:566	method-nowhere
java/lang/AbstractStringBuilder	insert	(ILjava/lang/Object;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:584	method-nowhere
java/lang/AbstractStringBuilder	insert	(ILjava/lang/Object;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:578	method-nowhere
java/lang/AbstractStringBuilder	insert	(ILjava/lang/String;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:548	method-nowhere
java/lang/AbstractStringBuilder	insert	(ILjava/lang/String;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:542	method-nowhere
java/lang/AbstractStringBuilder	insert	(I[C)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:614	method-nowhere
java/lang/AbstractStringBuilder	insert	(I[C)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:608	method-nowhere
java/lang/AbstractStringBuilder	insert	(I[CII)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:596	method-nowhere
java/lang/AbstractStringBuilder	insert	(I[CII)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:590	method-nowhere
java/lang/AbstractStringBuilder	repeat	(II)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:290	method-nowhere
java/lang/AbstractStringBuilder	repeat	(II)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:284	method-nowhere
java/lang/AbstractStringBuilder	repeat	(II)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:785	method-nowhere
java/lang/AbstractStringBuilder	repeat	(Ljava/lang/CharSequence;I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:752	method-nowhere
java/lang/AbstractStringBuilder	repeat	(Ljava/lang/CharSequence;I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:704	method-nowhere
java/lang/AbstractStringBuilder	repeat	(Ljava/lang/String;I)Ljava/lang/AbstractStringBuilder;	bridge	native-builtins/src/lang_string.rs:770	method-nowhere
java/lang/AbstractStringBuilder	repeat	(Ljava/lang/String;I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:764	method-nowhere
java/lang/AbstractStringBuilder	repeat	(Ljava/lang/String;I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:728	method-nowhere
