# stale-handle-across-allocation baseline — scripts/stale-handle-across-alloc-audit.py
# <count>	<file>::<fn> — a RATCHET, not a target: triage is by hand and a match is not a defect.
1	native-builtins/src/phases_early.rs::register_core_stdlib_extras{closure@3233}
1	native-builtins/src/phases_late.rs::native_quarkus_logging_handle_failed_start{closure@972}
1	native-builtins/src/phases_late.rs::register_p63_service_loader{closure@3830}
1	native-builtins/src/phases_late.rs::register_p63_service_loader{closure@3867}
1	native-builtins/src/phases_late.rs::register_p64_string_additions{closure@5219}
2	native-builtins/src/phases_late.rs::register_p65_pattern_additions{closure@5516}
1	native-builtins/src/phases_late.rs::register_p71_biginteger_extras{closure@7910}
1	native-builtins/src/phases_late/beans_jndi.rs::introspector_get_bean_info
1	native-builtins/src/phases_late/charset_buffers.rs::register_p61_charset{closure@685}
1	native-builtins/src/phases_late/charset_buffers.rs::register_p62_char_buffer
1	native-builtins/src/phases_late/collections.rs::register_entry_value_semantics{closure@561}
1	native-builtins/src/phases_late/concurrent.rs::native_p65_pbq_offer
2	native-builtins/src/phases_late/concurrent.rs::register_p63_scheduled_executor
1	native-builtins/src/phases_late/concurrent.rs::register_phase55_executors{closure@403}
1	native-builtins/src/phases_late/foreign_ffm.rs::register_p67_foreign_memory{closure@3937}
1	native-builtins/src/phases_late/jdbc.rs::register_p68_jdbc_driver_manager{closure@1734}
1	native-builtins/src/phases_late/net_channels.rs::p72_inet_from_socket_address
1	native-builtins/src/phases_late/net_channels.rs::register_p69_websocket{closure@2542}
1	native-builtins/src/phases_late/net_channels.rs::register_p72_datagram{closure@3477}
2	native-builtins/src/phases_late/net_channels.rs::register_p72_server_socket{closure@5456}
1	native-builtins/src/phases_late/net_channels.rs::register_p72_server_socket{closure@5569}
1	native-builtins/src/phases_late/net_channels.rs::register_p72_server_socket{closure@5615}
6	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file
1	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@1404}
1	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@2429}
2	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@2519}
1	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@315}
2	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@456}
1	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@4898}
1	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@5463}
1	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@5736}
1	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@6516}
1	native-builtins/src/phases_late/nio_file.rs::register_phase57_nio_file{closure@7966}
1	native-builtins/src/phases_late/reflect_invoke.rs::build_string_set
1	native-builtins/src/phases_late/reflect_invoke.rs::register_p59_module{closure@3247}
2	native-builtins/src/phases_late/reflect_invoke.rs::register_p59_module{closure@3341}
1	native-builtins/src/phases_late/reflect_invoke.rs::render_type_name
1	native-builtins/src/phases_late/ssl_security.rs::new13_ssl_socket_connect
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_crypto_mac{closure@887}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_security_cert{closure@8108}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_security_cert{closure@8233}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_security_cert{closure@8420}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_ssl
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_ssl{closure@3999}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_ssl{closure@4839}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_ssl{closure@4974}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_ssl{closure@6164}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_ssl{closure@6906}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_ssl{closure@7282}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_ssl{closure@7563}
1	native-builtins/src/phases_late/ssl_security.rs::register_p68_ssl{closure@7602}
1	native-builtins/src/phases_late/streams.rs::drain_spliterator
1	native-builtins/src/phases_late/streams.rs::p59_hashset_spliterator
1	native-builtins/src/phases_late/streams.rs::register_p69_spliterator{closure@4717}
6	native-builtins/src/phases_late/text_intl.rs::p61_dfsy_fill
2	native-builtins/src/phases_late/xml_json.rs::build_json_tree_node_depth
1	native-builtins/src/phases_late/xml_json.rs::json_str_to_value_depth
2	native-builtins/src/phases_late/zip_streams.rs::native_inflater_input_stream_read
1	native-builtins/src/phases_late/zip_streams.rs::register_p58_gzip_streams{closure@406}
1	native-builtins/src/phases_late/zip_streams.rs::zip_output_write_primitive
2	native-builtins/src/phases_late/zip_streams.rs::zo_finalize_current_entry_body
3	native-builtins/src/phases_late/zip_streams.rs::zo_write_zip_body
1	native-builtins/src/quarkus_staticinit.rs::native_rv_get_value
1	native-builtins/src/quarkus_staticinit.rs::native_serialized_application_read
3	native-builtins/src/reflect_annotations.rs::native_proxy_dispatch_invoke
1	native-builtins/src/reflect_annotations.rs::native_proxy_new_instance
1	native-builtins/src/reflect_annotations.rs::register_annotation_overrides{closure@435}
