# class	method	descriptor	kind	registered_by	gated_because
sun/nio/ch/WindowsFileDispatcherImpl	pread0	(Ljava/io/FileDescriptor;JIJ)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	pwrite0	(Ljava/io/FileDescriptor;JIJ)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	read0	(Ljava/io/FileDescriptor;JI)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	readv0	(Ljava/io/FileDescriptor;JI)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	release0	(Ljava/io/FileDescriptor;JJ)V	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	seek0	(Ljava/io/FileDescriptor;J)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	setDirect0	(Ljava/io/FileDescriptor;Ljava/nio/CharBuffer;)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	size0	(Ljava/io/FileDescriptor;)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	transferFrom0	(Ljava/io/FileDescriptor;Ljava/io/FileDescriptor;JJ)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	transferFrom0	(Ljava/io/FileDescriptor;Ljava/io/FileDescriptor;JJZ)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	transferTo0	(Ljava/io/FileDescriptor;JJLjava/io/FileDescriptor;)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	transferTo0	(Ljava/io/FileDescriptor;JJLjava/io/FileDescriptor;Z)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	truncate0	(Ljava/io/FileDescriptor;J)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	unmap0	(JJ)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	write0	(Ljava/io/FileDescriptor;JI)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	write0	(Ljava/io/FileDescriptor;JIZ)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	writev0	(Ljava/io/FileDescriptor;JI)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	writev0	(Ljava/io/FileDescriptor;JIZ)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/fs/UnixWatchService	cancel0	(I)V	synthetic-stub	native-io/src/watch.rs:770	kind=synthetic-stub
sun/nio/fs/UnixWatchService	close0	()V	synthetic-stub	native-io/src/watch.rs:771	kind=synthetic-stub
sun/nio/fs/UnixWatchService	init0	()V	synthetic-stub	native-io/src/watch.rs:761	kind=synthetic-stub
sun/nio/fs/UnixWatchService	poll0	(J)I	synthetic-stub	native-io/src/watch.rs:769	kind=synthetic-stub
sun/nio/fs/UnixWatchService	pollEventKinds0	(I)[I	synthetic-stub	native-io/src/watch.rs:773	kind=synthetic-stub
sun/nio/fs/UnixWatchService	pollEventNames0	(I)[Ljava/lang/String;	synthetic-stub	native-io/src/watch.rs:774	kind=synthetic-stub
sun/nio/fs/UnixWatchService	register0	(Ljava/lang/String;I)I	synthetic-stub	native-io/src/watch.rs:762	kind=synthetic-stub
sun/nio/fs/UnixWatchService	reset0	(I)Z	synthetic-stub	native-io/src/watch.rs:772	kind=synthetic-stub
sun/nio/fs/UnixWatchService	take0	()I	synthetic-stub	native-io/src/watch.rs:768	kind=synthetic-stub
sun/reflect/Reflection	getCallerClass	()Ljava/lang/Class;	synthetic-stub	native-builtins/src/deprecated_internal.rs:930	kind=synthetic-stub
sun/reflect/Reflection	getCallerClass	()Ljava/lang/Class;	synthetic-stub	native-builtins/src/deprecated_internal.rs:930	kind=synthetic-stub
sun/reflect/Reflection	getCallerClass	(I)Ljava/lang/Class;	synthetic-stub	native-builtins/src/deprecated_internal.rs:877	kind=synthetic-stub
sun/reflect/Reflection	getCallerClass	(I)Ljava/lang/Class;	synthetic-stub	native-builtins/src/deprecated_internal.rs:877	kind=synthetic-stub
