# class	method	descriptor	kind	registered_by	gated_because
java/net/PlainSocketImpl	socketBind	(Ljava/net/InetAddress;I)V	synthetic-stub	native-builtins/src/plain_socket.rs:919	kind=synthetic-stub
java/net/PlainSocketImpl	socketClose0	()V	synthetic-stub	native-builtins/src/plain_socket.rs:931	kind=synthetic-stub
java/net/PlainSocketImpl	socketClose0	(Z)V	synthetic-stub	native-builtins/src/plain_socket.rs:930	kind=synthetic-stub
java/net/PlainSocketImpl	socketConnect	(Ljava/net/InetAddress;II)V	synthetic-stub	native-builtins/src/plain_socket.rs:912	kind=synthetic-stub
java/net/PlainSocketImpl	socketCreate	(Z)V	synthetic-stub	native-builtins/src/plain_socket.rs:907	kind=synthetic-stub
java/net/PlainSocketImpl	socketCreate	(ZZ)V	synthetic-stub	native-builtins/src/plain_socket.rs:910	kind=synthetic-stub
java/net/PlainSocketImpl	socketGetOption	(I)I	synthetic-stub	native-builtins/src/plain_socket.rs:969	kind=synthetic-stub
java/net/PlainSocketImpl	socketGetOption	(ILjava/lang/Object;)I	synthetic-stub	native-builtins/src/plain_socket.rs:970	kind=synthetic-stub
java/net/PlainSocketImpl	socketListen	(I)V	synthetic-stub	native-builtins/src/plain_socket.rs:921	kind=synthetic-stub
java/net/PlainSocketImpl	socketSendUrgentData	(I)V	synthetic-stub	native-builtins/src/plain_socket.rs:992	kind=synthetic-stub
java/net/PlainSocketImpl	socketSetOption	(ILjava/lang/Object;)V	synthetic-stub	native-builtins/src/plain_socket.rs:962	kind=synthetic-stub
java/net/PlainSocketImpl	socketSetOption	(IZLjava/lang/Object;)V	synthetic-stub	native-builtins/src/plain_socket.rs:935	kind=synthetic-stub
java/net/PlainSocketImpl	socketShutdown	(I)V	synthetic-stub	native-builtins/src/plain_socket.rs:933	kind=synthetic-stub
java/rmi/activation/Activatable	<init>	()V	synthetic-stub	native-builtins/src/deprecated_internal.rs:390	kind=synthetic-stub
java/rmi/activation/Activatable	<init>	()V	synthetic-stub	native-builtins/src/deprecated_internal.rs:390	kind=synthetic-stub
java/rmi/activation/Activatable	exportObject	(Ljava/rmi/Remote;Ljava/rmi/activation/ActivationID;I)Ljava/rmi/Remote;	synthetic-stub	native-builtins/src/deprecated_internal.rs:407	kind=synthetic-stub
java/rmi/activation/Activatable	exportObject	(Ljava/rmi/Remote;Ljava/rmi/activation/ActivationID;I)Ljava/rmi/Remote;	synthetic-stub	native-builtins/src/deprecated_internal.rs:407	kind=synthetic-stub
java/rmi/activation/Activatable	register	(Ljava/rmi/activation/ActivationDesc;)Ljava/rmi/activation/ActivationID;	synthetic-stub	native-builtins/src/deprecated_internal.rs:399	kind=synthetic-stub
java/rmi/activation/Activatable	register	(Ljava/rmi/activation/ActivationDesc;)Ljava/rmi/activation/ActivationID;	synthetic-stub	native-builtins/src/deprecated_internal.rs:399	kind=synthetic-stub
java/rmi/activation/ActivationGroup	<init>	()V	synthetic-stub	native-builtins/src/deprecated_internal.rs:435	kind=synthetic-stub
java/rmi/activation/ActivationGroup	<init>	()V	synthetic-stub	native-builtins/src/deprecated_internal.rs:435	kind=synthetic-stub
java/rmi/activation/ActivationGroup	getSystem	()Ljava/rmi/activation/ActivationSystem;	synthetic-stub	native-builtins/src/deprecated_internal.rs:422	kind=synthetic-stub
java/rmi/activation/ActivationGroup	getSystem	()Ljava/rmi/activation/ActivationSystem;	synthetic-stub	native-builtins/src/deprecated_internal.rs:422	kind=synthetic-stub
java/security/AccessController$1	doIntersectionPrivilege	(Ljava/security/PrivilegedAction;Ljava/security/AccessControlContext;Ljava/security/AccessControlContext;)Ljava/lang/Object;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:2433	kind=synthetic-stub
java/security/AccessController$1	getProtectDomains	(Ljava/security/AccessControlContext;)[Ljava/security/ProtectionDomain;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:2439	kind=synthetic-stub
java/util/ArrayDeque$Itr	remove	()V	synthetic-stub	native-collections/src/lib.rs:35700	kind=synthetic-stub
java/util/Comparator$Native	compare	(Ljava/lang/Object;Ljava/lang/Object;)I	synthetic-stub	native-collections/src/lib.rs:28288	kind=synthetic-stub
java/util/Comparator$Native	writeReplace	()Ljava/lang/Object;	synthetic-stub	native-collections/src/lib.rs:28297	kind=synthetic-stub
java/util/Enumeration$Impl	hasNext	()Z	synthetic-stub	native-builtins/src/classloader.rs:5981	kind=synthetic-stub
java/util/Enumeration$Impl	next	()Ljava/lang/Object;	synthetic-stub	native-builtins/src/classloader.rs:5991	kind=synthetic-stub
java/util/HashMap$Entry	equals	(Ljava/lang/Object;)Z	synthetic-stub	native-collections/src/lib.rs:15598	kind=synthetic-stub
java/util/HashMap$Entry	getKey	()Ljava/lang/Object;	synthetic-stub	native-collections/src/lib.rs:15584	kind=synthetic-stub
java/util/HashMap$Entry	getValue	()Ljava/lang/Object;	synthetic-stub	native-collections/src/lib.rs:15585	kind=synthetic-stub
java/util/HashMap$Entry	hashCode	()I	synthetic-stub	native-collections/src/lib.rs:15597	kind=synthetic-stub
java/util/HashMap$Entry	setValue	(Ljava/lang/Object;)Ljava/lang/Object;	synthetic-stub	native-collections/src/lib.rs:15591	kind=synthetic-stub
java/util/IteratorEnumeration	hasMoreElements	()Z	synthetic-stub	native-builtins/src/keystore.rs:2013	kind=synthetic-stub
java/util/IteratorEnumeration	nextElement	()Ljava/lang/Object;	synthetic-stub	native-builtins/src/keystore.rs:2030	kind=synthetic-stub
java/util/ServiceLoader$Itr	hasNext	()Z	synthetic-stub	native-builtins/src/streams.rs:74	kind=synthetic-stub
java/util/ServiceLoader$Itr	next	()Ljava/lang/Object;	synthetic-stub	native-builtins/src/streams.rs:75	kind=synthetic-stub
java/util/TreeMap$KeyItr	hasNext	()Z	synthetic-stub	native-collections/src/lib.rs:41443	kind=synthetic-stub
java/util/TreeMap$KeyItr	next	()Ljava/lang/Object;	synthetic-stub	native-collections/src/lib.rs:41444	kind=synthetic-stub
java/util/concurrent/CompletedFuture	get	()Ljava/lang/Object;	synthetic-stub	native-io/src/lib.rs:17294	kind=synthetic-stub
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	addAndGet	(Ljava/lang/Object;I)I	bridge	native-builtins/src/atomic_updater.rs:1126	class in no supported image
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	decrementAndGet	(Ljava/lang/Object;)I	bridge	native-builtins/src/atomic_updater.rs:1106	class in no supported image
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	getAndAdd	(Ljava/lang/Object;I)I	bridge	native-builtins/src/atomic_updater.rs:1094	class in no supported image
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	getAndDecrement	(Ljava/lang/Object;)I	bridge	native-builtins/src/atomic_updater.rs:1120	class in no supported image
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	getAndIncrement	(Ljava/lang/Object;)I	bridge	native-builtins/src/atomic_updater.rs:1114	class in no supported image
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	getAndSet	(Ljava/lang/Object;I)I	bridge	native-builtins/src/atomic_updater.rs:1088	class in no supported image
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	lazySet	(Ljava/lang/Object;I)V	bridge	native-builtins/src/atomic_updater.rs:1070	class in no supported image
java/util/concurrent/atomic/AtomicIntegerFieldUpdater$RustJvmImpl	weakCompareAndSet	(Ljava/lang/Object;II)Z	bridge	native-builtins/src/atomic_updater.rs:1082	class in no supported image
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	decrementAndGet	(Ljava/lang/Object;)J	bridge	native-builtins/src/atomic_updater.rs:1258	class in no supported image
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	getAndAdd	(Ljava/lang/Object;J)J	bridge	native-builtins/src/atomic_updater.rs:1223	class in no supported image
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	getAndDecrement	(Ljava/lang/Object;)J	bridge	native-builtins/src/atomic_updater.rs:1240	class in no supported image
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	getAndIncrement	(Ljava/lang/Object;)J	bridge	native-builtins/src/atomic_updater.rs:1234	class in no supported image
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	getAndSet	(Ljava/lang/Object;J)J	bridge	native-builtins/src/atomic_updater.rs:1217	class in no supported image
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	incrementAndGet	(Ljava/lang/Object;)J	bridge	native-builtins/src/atomic_updater.rs:1252	class in no supported image
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	lazySet	(Ljava/lang/Object;J)V	bridge	native-builtins/src/atomic_updater.rs:1199	class in no supported image
java/util/concurrent/atomic/AtomicLongFieldUpdater$RustJvmImpl	weakCompareAndSet	(Ljava/lang/Object;JJ)Z	bridge	native-builtins/src/atomic_updater.rs:1211	class in no supported image
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	getAndSet	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/atomic_updater.rs:1010	class in no supported image
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	getAndUpdate	(Ljava/lang/Object;Ljava/util/function/UnaryOperator;)Ljava/lang/Object;	bridge	native-builtins/src/atomic_updater.rs:1016	class in no supported image
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	lazySet	(Ljava/lang/Object;Ljava/lang/Object;)V	bridge	native-builtins/src/atomic_updater.rs:992	class in no supported image
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	updateAndGet	(Ljava/lang/Object;Ljava/util/function/UnaryOperator;)Ljava/lang/Object;	bridge	native-builtins/src/atomic_updater.rs:1022	class in no supported image
java/util/concurrent/atomic/AtomicReferenceFieldUpdater$RustJvmImpl	weakCompareAndSet	(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z	bridge	native-builtins/src/atomic_updater.rs:1004	class in no supported image
java/util/concurrent/locks/StampedLock	isLocked	()Z	synthetic-stub	native-builtins/src/util_concurrent_ext.rs:6055	kind=synthetic-stub
java/util/concurrent/locks/StampedLock	isLocked	()Z	synthetic-stub	native-builtins/src/util_concurrent_ext.rs:6055	kind=synthetic-stub
java/util/concurrent/locks/StampedLock	isLocked	()Z	synthetic-stub	native-builtins/src/util_concurrent_ext.rs:6055	kind=synthetic-stub
java/util/function/Function$Identity	andThen	(Ljava/util/function/Function;)Ljava/util/function/Function;	synthetic-stub	native-builtins/src/lib.rs:38247	kind=synthetic-stub
java/util/function/Function$Identity	apply	(Ljava/lang/Object;)Ljava/lang/Object;	synthetic-stub	native-builtins/src/phases_late/streams.rs:2937	kind=synthetic-stub
java/util/function/Function$Identity	apply	(Ljava/lang/Object;)Ljava/lang/Object;	synthetic-stub	native-builtins/src/lib.rs:38241	kind=synthetic-stub
java/util/function/Function$Identity	compose	(Ljava/util/function/Function;)Ljava/util/function/Function;	synthetic-stub	native-builtins/src/lib.rs:38253	kind=synthetic-stub
java/util/logging/LogManager$StringEnumeration	nextElement	()Ljava/lang/Object;	synthetic-stub	native-builtins/src/logmanager.rs:6302	kind=synthetic-stub
javax/net/ssl/SSLSocketInputStream	available	()I	synthetic-stub	native-builtins/src/phases_late/ssl_security.rs:3311	kind=synthetic-stub
javax/net/ssl/SSLSocketInputStream	close	()V	synthetic-stub	native-builtins/src/phases_late/ssl_security.rs:3357	kind=synthetic-stub
javax/net/ssl/SSLSocketInputStream	read	()I	synthetic-stub	native-builtins/src/phases_late/ssl_security.rs:3198	kind=synthetic-stub
javax/net/ssl/SSLSocketInputStream	read	([BII)I	synthetic-stub	native-builtins/src/phases_late/ssl_security.rs:3248	kind=synthetic-stub
javax/net/ssl/SSLSocketOutputStream	close	()V	synthetic-stub	native-builtins/src/phases_late/ssl_security.rs:3484	kind=synthetic-stub
javax/net/ssl/SSLSocketOutputStream	flush	()V	synthetic-stub	native-builtins/src/phases_late/ssl_security.rs:3481	kind=synthetic-stub
javax/net/ssl/SSLSocketOutputStream	write	(I)V	synthetic-stub	native-builtins/src/phases_late/ssl_security.rs:3361	kind=synthetic-stub
javax/net/ssl/SSLSocketOutputStream	write	([BII)V	synthetic-stub	native-builtins/src/phases_late/ssl_security.rs:3392	kind=synthetic-stub
jdk/internal/logger/AbstractLoggerFinder	isSystem	(Ljava/lang/Module;)Z	synthetic-stub	native-builtins/src/lib.rs:19004	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaIOAccess	()Ljdk/internal/access/JavaIOAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
jdk/internal/misc/SharedSecrets	getJavaIOFileDescriptorAccess	()Ljdk/internal/access/JavaIOFileDescriptorAccess;	synthetic-stub	native-builtins/src/shared_secrets_bridge.rs:222	kind=synthetic-stub
