suite	vm	rc	state	wall_s	note
h2-testall-fast	cratonvm	0	PASS	1.2	[2m2026-06-10T02:14:19.041902Z[0m [33m WARN[0m [2mcratonvm_vm::vm::vm_util
h2-testall-fast	hotspot	0	PASS	0.3	00:00.021 total
wildfly-health	cratonvm	1	FAIL	3.6	FAIL testSchema[0](org.wildfly.extension.health.HealthSubsystemTestCase) :: fatal error: Premature end of file.
wildfly-health	hotspot	-	SKIP	-	CratonVM not PASS
elasticsearch-version	cratonvm	70	FAIL	2.7	Exception
elasticsearch-version	hotspot	-	SKIP	-	-
gpu-bench-cpu	cratonvm	0	PASS	1.1	[cratonvm] System.exit(0) called — process terminating
gpu-bench-cpu	hotspot	0	PASS	0.2	correctness=OK
gpu-offload-probe	cratonvm	0	PASS	1.3	OUT0=0 OUTN=1048600
gpu-offload-probe	hotspot	0	PASS	0.1	OUT0=0 OUTN=1048600
bc-asn1-regression	cratonvm	0	PASS	18.1	All tests successful.
bc-asn1-regression	hotspot	0	PASS	0.7	All tests successful.
bc-crypto-prng	cratonvm	0	PASS	35.1	All tests successful.
bc-crypto-prng	hotspot	0	PASS	0.6	All tests successful.
commons-math-junit-probe	cratonvm	0	PASS	5.2	EXEC_FOUND=4 SUCCEEDED=4 FAILED=0
commons-math-junit-probe	hotspot	0	PASS	0.5	EXEC_FOUND=1 SUCCEEDED=0 FAILED=1
dacapo-avrora	cratonvm	0	PASS	6.4	PASSED
dacapo-avrora	hotspot	127	N/S	0.9	FAILED
pool:kafka-codec	cratonvm	0	PASS	1.43	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:kafka-codec	hotspot	1	REGRESS	0.10	-
pool:spring-boot-run	cratonvm	0	PASS	3.46	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:spring-boot-run	hotspot	1	REGRESS	0.09	-
pool:tomcat-server-info	cratonvm	0	PASS	1.54	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:tomcat-server-info	hotspot	1	REGRESS	0.16	-
