index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	module/spring-boot-micrometer-metrics	org.springframework.boot.micrometer.metrics.autoconfigure.startup.StartupTimeMetricsListenerAutoConfigurationTests	craton	on	0	PASS	7.131	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.autoconfigure.startup.St-5e48680b47b6.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.autoconfigure.startup.St-5e48680b47b6.err.log	
2	module/spring-boot-micrometer-metrics	org.springframework.boot.micrometer.metrics.autoconfigure.system.SystemMetricsAutoConfigurationTests	craton	on	0	PASS	9.670	12	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.autoconfigure.system.Sys-818282459d9f.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.autoconfigure.system.Sys-818282459d9f.err.log	
3	module/spring-boot-micrometer-metrics	org.springframework.boot.micrometer.metrics.export.prometheus.PrometheusPushGatewayManagerTests	craton	on	0	PASS	9.701	11	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.export.prometheus.Promet-9cdbb18a4836.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.export.prometheus.Promet-9cdbb18a4836.err.log	
4	module/spring-boot-micrometer-metrics	org.springframework.boot.micrometer.metrics.MaximumAllowableTagsMeterFilterTests	craton	on	0	PASS	0.809	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.MaximumAllowableTagsMeterFilterTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.MaximumAllowableTagsMeterFilterTests.err.log	
5	module/spring-boot-micrometer-metrics	org.springframework.boot.micrometer.metrics.autoconfigure.task.TaskExecutorMetricsAutoConfigurationTests	craton	on	1	FAIL	21.736	9	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.autoconfigure.task.TaskE-961fa04e4182.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.autoconfigure.task.TaskE-961fa04e4182.err.log	    => org.mockito.exceptions.base.MockitoException:  | hotspot-baseline: PASS 0/9
6	module/spring-boot-micrometer-metrics	org.springframework.boot.micrometer.metrics.startup.StartupTimeMetricsListenerTests	craton	on	0	PASS	8.701	5	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.startup.StartupTimeMetri-4e1273e692ed.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.startup.StartupTimeMetri-4e1273e692ed.err.log	
7	module/spring-boot-micrometer-metrics	org.springframework.boot.micrometer.metrics.system.DiskSpaceMetricsBinderTests	craton	on	0	PASS	1.025	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.system.DiskSpaceMetricsBinderTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.system.DiskSpaceMetricsBinderTests.err.log	
8	module/spring-boot-micrometer-metrics	org.springframework.boot.micrometer.metrics.ValidationFailureAnalyzerTests	craton	on	0	PASS	1.011	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.ValidationFailureAnalyzerTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics.org.springframework.boot.micrometer.metrics.ValidationFailureAnalyzerTests.err.log	
9	module/spring-boot-micrometer-metrics-test	org.springframework.boot.micrometer.metrics.test.autoconfigure.AutoConfigureMetricsMissingIntegrationTests	craton	on	0	PASS	7.655	2	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics-test.org.springframework.boot.micrometer.metrics.test.autoconfigure.-afd644b19322.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics-test.org.springframework.boot.micrometer.metrics.test.autoconfigure.-afd644b19322.err.log	
10	module/spring-boot-micrometer-metrics-test	org.springframework.boot.micrometer.metrics.test.autoconfigure.AutoConfigureMetricsSlicedIntegrationTests	craton	on	0	EMPTY	0.603	0	0	0	2	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics-test.org.springframework.boot.micrometer.metrics.test.autoconfigure.-2252b1d491a2.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s7/all-jit/logs/module_spring-boot-micrometer-metrics-test.org.springframework.boot.micrometer.metrics.test.autoconfigure.-2252b1d491a2.err.log	
