index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
11	module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests	craton	on	1	FAIL	543.566	113	2	0	2	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jetty.org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jetty.org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests.err.log	java.lang.RuntimeException: Planned 
12	module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests	craton	on	0	PASS	1255.667	17	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq.org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq.org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests.err.log	
13	module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqFlywayDatabaseInitializationTests	craton	on	0	PASS	270.905	3	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq.org.springframework.boot.jooq.autoconfigure.JooqFlywayDatabas-7d25aa20c090.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq.org.springframework.boot.jooq.autoconfigure.JooqFlywayDatabas-7d25aa20c090.err.log	
14	module/spring-boot-jooq-test	org.springframework.boot.jooq.test.autoconfigure.JooqTestIntegrationTests	craton	on	0	PASS	268.394	7	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq-test.org.springframework.boot.jooq.test.autoconfigure.JooqTes-4729f53c4a99.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq-test.org.springframework.boot.jooq.test.autoconfigure.JooqTes-4729f53c4a99.err.log	
15	module/spring-boot-jooq-test	org.springframework.boot.jooq.test.autoconfigure.JooqTestPropertiesIntegrationTests	craton	on	0	PASS	433.534	2	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq-test.org.springframework.boot.jooq.test.autoconfigure.JooqTes-12a195b471ea.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq-test.org.springframework.boot.jooq.test.autoconfigure.JooqTes-12a195b471ea.err.log	
16	module/spring-boot-jooq-test	org.springframework.boot.jooq.test.autoconfigure.JooqTestWithAutoConfigureTestDatabaseIntegrationTests	craton	on	0	PASS	341.460	1	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq-test.org.springframework.boot.jooq.test.autoconfigure.JooqTes-53bf83635bcb.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq-test.org.springframework.boot.jooq.test.autoconfigure.JooqTes-53bf83635bcb.err.log	
17	module/spring-boot-pulsar	org.springframework.boot.pulsar.autoconfigure.PulsarAutoConfigurationTests	craton	on	0	PASS	369.340	74	0	0	2	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-pulsar.org.springframework.boot.pulsar.autoconfigure.PulsarAutoCon-72a68e29781a.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-pulsar.org.springframework.boot.pulsar.autoconfigure.PulsarAutoCon-72a68e29781a.err.log	
18	module/spring-boot-quartz	org.springframework.boot.quartz.actuate.endpoint.QuartzEndpointWebIntegrationTests	craton	on	1	FAIL	738.692	45	4	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-quartz.org.springframework.boot.quartz.actuate.endpoint.QuartzEndp-e3de43e38499.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-quartz.org.springframework.boot.quartz.actuate.endpoint.QuartzEndp-e3de43e38499.err.log	21:08:13.269 [main] INFO org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean -- Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFou
19	module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.ManagementWebSecurityAutoConfigurationTests	craton	on	1	FAIL	260.708	10	4	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-security.org.springframework.boot.security.autoconfigure.actuate.w-f4cd03f47d82.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-security.org.springframework.boot.security.autoconfigure.actuate.w-f4cd03f47d82.err.log	21:20:19.000 [main] INFO org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean -- Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFou
20	module/spring-boot-tomcat	org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests	craton	on	0	PASS	973.841	132	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-tomcat.org.springframework.boot.tomcat.servlet.TomcatServletWebSer-3257b00b67ee.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-tomcat.org.springframework.boot.tomcat.servlet.TomcatServletWebSer-3257b00b67ee.err.log	
