index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ListLayersCommandTests	craton	on	1	FAIL	0.634	2	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ListLayersCommandTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ListLayersCommandTests.err.log	    => org.opentest4j.AssertionFailedError: 
2	loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ToolsJarModeTests	craton	on	1	FAIL	0.916	9	8	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ToolsJarModeTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/loader_spring-boot-jarmode-tools.org.springframework.boot.jarmode.tools.ToolsJarModeTests.err.log	    => org.opentest4j.AssertionFailedError: 
3	core/spring-boot	org.springframework.boot.system.ApplicationPidTests	craton	on	1	FAIL	0.636	13	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/core_spring-boot.org.springframework.boot.system.ApplicationPidTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/core_spring-boot.org.springframework.boot.system.ApplicationPidTests.err.log	    => java.lang.AssertionError: 
4	module/spring-boot-tomcat	org.springframework.boot.tomcat.autoconfigure.TomcatWebServerFactoryCustomizerTests	craton	on	1	FAIL	58.986	66	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/module_spring-boot-tomcat.org.springframework.boot.tomcat.autoconfigure.TomcatWebServerFactoryCustomizerTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/module_spring-boot-tomcat.org.springframework.boot.tomcat.autoconfigure.TomcatWebServerFactoryCustomizerTests.err.log	    => java.lang.IllegalStateException: Resolution failed after 5 attempts
5	core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.condition.ConditionalOnCheckpointRestoreTests	craton	on	1	FAIL	1.808	2	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/core_spring-boot-autoconfigure.org.springframework.boot.autoconfigure.condition.ConditionalOnCheckpointRestoreTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/core_spring-boot-autoconfigure.org.springframework.boot.autoconfigure.condition.ConditionalOnCheckpointRestoreTests.err.log	    => java.lang.IllegalStateException: Resolution failed after 5 attempts
6	loader/spring-boot-loader	org.springframework.boot.loader.zip.ZipContentTests	craton	on	1	CRASH	156.826	0	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/loader_spring-boot-loader.org.springframework.boot.loader.zip.ZipContentTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/loader_spring-boot-loader.org.springframework.boot.loader.zip.ZipContentTests.err.log	[cratonvm] main-vm run() returned Err: Exception in thread "main" java/lang/OutOfMemoryError: Java heap space (alloc_array length 8192)
7	module/spring-boot-gson	org.springframework.boot.gson.autoconfigure.Gson210AutoConfigurationTests	craton	on	1	FAIL	1.405	1	1	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/module_spring-boot-gson.org.springframework.boot.gson.autoconfigure.Gson210AutoConfigurationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/module_spring-boot-gson.org.springframework.boot.gson.autoconfigure.Gson210AutoConfigurationTests.err.log	    => java.lang.IllegalStateException: Resolution failed after 5 attempts
8	module/spring-boot-tomcat	org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests	craton	on	0	PASS	180.342	132	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/module_spring-boot-tomcat.org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual32-20260804-s2/all-jit/logs/module_spring-boot-tomcat.org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests.err.log	
