# jdk-baseline	2
# kind	class
# name	java.lang.Character
# module	java.base
# java.version	25.0.3
# java.vm.version	25.0.3+9-LTS
# java.vendor.version	Microsoft-13877124
# source	jrt:/modules/java.base/java/lang/Character.class
# generator	scripts/jdk-baseline/generate.py
# regenerate	python scripts/jdk-baseline/generate.py --update
# public-methods	96
# protected-methods	0
# declared-methods	104
# declared-fields	74
# rows	188
# columns	kind	name	descriptor	flags
FIELD	DIRECTIONALITY_EUROPEAN_NUMBER_SEPARATOR	B	public,static,final
FIELD	DIRECTIONALITY_EUROPEAN_NUMBER_TERMINATOR	B	public,static,final
FIELD	DIRECTIONALITY_FIRST_STRONG_ISOLATE	B	public,static,final
FIELD	DIRECTIONALITY_LEFT_TO_RIGHT	B	public,static,final
FIELD	DIRECTIONALITY_LEFT_TO_RIGHT_EMBEDDING	B	public,static,final
FIELD	DIRECTIONALITY_LEFT_TO_RIGHT_ISOLATE	B	public,static,final
FIELD	DIRECTIONALITY_LEFT_TO_RIGHT_OVERRIDE	B	public,static,final
FIELD	DIRECTIONALITY_NONSPACING_MARK	B	public,static,final
FIELD	DIRECTIONALITY_OTHER_NEUTRALS	B	public,static,final
FIELD	DIRECTIONALITY_PARAGRAPH_SEPARATOR	B	public,static,final
FIELD	DIRECTIONALITY_POP_DIRECTIONAL_FORMAT	B	public,static,final
FIELD	DIRECTIONALITY_POP_DIRECTIONAL_ISOLATE	B	public,static,final
FIELD	DIRECTIONALITY_RIGHT_TO_LEFT	B	public,static,final
FIELD	DIRECTIONALITY_RIGHT_TO_LEFT_ARABIC	B	public,static,final
FIELD	DIRECTIONALITY_RIGHT_TO_LEFT_EMBEDDING	B	public,static,final
FIELD	DIRECTIONALITY_RIGHT_TO_LEFT_ISOLATE	B	public,static,final
FIELD	DIRECTIONALITY_RIGHT_TO_LEFT_OVERRIDE	B	public,static,final
FIELD	DIRECTIONALITY_SEGMENT_SEPARATOR	B	public,static,final
FIELD	DIRECTIONALITY_UNDEFINED	B	public,static,final
FIELD	DIRECTIONALITY_WHITESPACE	B	public,static,final
FIELD	ENCLOSING_MARK	B	public,static,final
FIELD	END_PUNCTUATION	B	public,static,final
FIELD	ERROR	I	static,final
FIELD	FINAL_QUOTE_PUNCTUATION	B	public,static,final
FIELD	FORMAT	B	public,static,final
FIELD	INITIAL_QUOTE_PUNCTUATION	B	public,static,final
FIELD	LETTER_NUMBER	B	public,static,final
FIELD	LINE_SEPARATOR	B	public,static,final
FIELD	LOWERCASE_LETTER	B	public,static,final
FIELD	MATH_SYMBOL	B	public,static,final
FIELD	MAX_CODE_POINT	I	public,static,final
FIELD	MAX_HIGH_SURROGATE	C	public,static,final
FIELD	MAX_LOW_SURROGATE	C	public,static,final
FIELD	MAX_RADIX	I	public,static,final
FIELD	MAX_SURROGATE	C	public,static,final
FIELD	MAX_VALUE	C	public,static,final
FIELD	MIN_CODE_POINT	I	public,static,final
FIELD	MIN_HIGH_SURROGATE	C	public,static,final
FIELD	MIN_LOW_SURROGATE	C	public,static,final
FIELD	MIN_RADIX	I	public,static,final
FIELD	MIN_SUPPLEMENTARY_CODE_POINT	I	public,static,final
FIELD	MIN_SURROGATE	C	public,static,final
FIELD	MIN_VALUE	C	public,static,final
FIELD	MODIFIER_LETTER	B	public,static,final
FIELD	MODIFIER_SYMBOL	B	public,static,final
FIELD	NON_SPACING_MARK	B	public,static,final
FIELD	OTHER_LETTER	B	public,static,final
FIELD	OTHER_NUMBER	B	public,static,final
FIELD	OTHER_PUNCTUATION	B	public,static,final
FIELD	OTHER_SYMBOL	B	public,static,final
FIELD	PARAGRAPH_SEPARATOR	B	public,static,final
FIELD	PRIVATE_USE	B	public,static,final
FIELD	SIZE	I	public,static,final
FIELD	SPACE_SEPARATOR	B	public,static,final
FIELD	START_PUNCTUATION	B	public,static,final
FIELD	SURROGATE	B	public,static,final
FIELD	TITLECASE_LETTER	B	public,static,final
FIELD	TYPE	Ljava/lang/Class;	public,static,final
FIELD	UNASSIGNED	B	public,static,final
FIELD	UPPERCASE_LETTER	B	public,static,final
FIELD	serialVersionUID	J	private,static,final
FIELD	value	C	private,final
