index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	module/spring-boot-security-saml2	org.springframework.boot.security.saml2.autoconfigure.Saml2RelyingPartyPropertiesTests	craton	on	0	PASS	1.666	8	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-saml2.org.springframework.boot.security.saml2.autoconfigure.Saml2RelyingPartyP-8f0cdce4a71e.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-saml2.org.springframework.boot.security.saml2.autoconfigure.Saml2RelyingPartyP-8f0cdce4a71e.err.log	
2	module/spring-boot-security-test	org.springframework.boot.security.test.autoconfigure.webflux.WebTestClientSecurityIntegrationTests	craton	on	0	PASS	3.456	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-test.org.springframework.boot.security.test.autoconfigure.webflux.WebTestClien-ea2c3bea8be7.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-test.org.springframework.boot.security.test.autoconfigure.webflux.WebTestClien-ea2c3bea8be7.err.log	
3	module/spring-boot-security-saml2	org.springframework.boot.security.saml2.autoconfigure.webmvc.Saml2RelyingPartyWebMvcTestIntegrationTests	craton	on	0	PASS	20.767	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-saml2.org.springframework.boot.security.saml2.autoconfigure.webmvc.Saml2Relyin-ff01655fe643.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-saml2.org.springframework.boot.security.saml2.autoconfigure.webmvc.Saml2Relyin-ff01655fe643.err.log	
4	module/spring-boot-security-test	org.springframework.boot.security.test.autoconfigure.webmvc.AutoConfigureMockMvcSecurityFilterOrderingIntegrationTests	craton	on	0	PASS	17.154	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-test.org.springframework.boot.security.test.autoconfigure.webmvc.AutoConfigure-799264f32b75.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-test.org.springframework.boot.security.test.autoconfigure.webmvc.AutoConfigure-799264f32b75.err.log	
5	module/spring-boot-security-test	org.springframework.boot.security.test.autoconfigure.webmvc.MockMvcSecurityIntegrationTests	craton	on	0	PASS	16.334	4	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-test.org.springframework.boot.security.test.autoconfigure.webmvc.MockMvcSecuri-8f04c02d354e.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-test.org.springframework.boot.security.test.autoconfigure.webmvc.MockMvcSecuri-8f04c02d354e.err.log	
6	module/spring-boot-security-test	org.springframework.boot.security.test.autoconfigure.webmvc.SecurityWebMvcTestIntegrationTests	craton	on	0	PASS	15.522	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-test.org.springframework.boot.security.test.autoconfigure.webmvc.SecurityWebMv-2cc9de7b520c.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-security-test.org.springframework.boot.security.test.autoconfigure.webmvc.SecurityWebMv-2cc9de7b520c.err.log	
7	module/spring-boot-servlet	org.springframework.boot.servlet.actuate.web.exchanges.HttpExchangesFilterTests	craton	on	0	PASS	1.811	5	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-servlet.org.springframework.boot.servlet.actuate.web.exchanges.HttpExchangesFilterTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-servlet.org.springframework.boot.servlet.actuate.web.exchanges.HttpExchangesFilterTests.err.log	
8	module/spring-boot-sendgrid	org.springframework.boot.sendgrid.autoconfigure.SendGridAutoConfigurationTests	craton	on	0	PASS	2.661	4	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-sendgrid.org.springframework.boot.sendgrid.autoconfigure.SendGridAutoConfigurationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-sendgrid.org.springframework.boot.sendgrid.autoconfigure.SendGridAutoConfigurationTests.err.log	
9	module/spring-boot-servlet	org.springframework.boot.servlet.actuate.web.mappings.FiltersMappingDescriptionProviderTests	craton	on	0	PASS	0.609	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-servlet.org.springframework.boot.servlet.actuate.web.mappings.FiltersMappingDescriptionProviderTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-servlet.org.springframework.boot.servlet.actuate.web.mappings.FiltersMappingDescriptionProviderTests.err.log	
10	module/spring-boot-servlet	org.springframework.boot.servlet.actuate.web.exchanges.RecordableServletHttpRequestTests	craton	on	0	PASS	0.638	4	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-servlet.org.springframework.boot.servlet.actuate.web.exchanges.RecordableServletHttpRequestTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s8/all-jit/logs/module_spring-boot-servlet.org.springframework.boot.servlet.actuate.web.exchanges.RecordableServletHttpRequestTests.err.log	
