org.springframework.cache.jcache.config.JCacheJavaConfigTests	OK	32	32	0	26973	OK	32	32	0	2725
org.springframework.cache.jcache.config.JCacheNamespaceDrivenTests	OK	30	30	0	11649	OK	30	30	0	3651
org.springframework.cache.jcache.config.JCacheStandaloneConfigTests	OK	28	28	0	6773	OK	28	28	0	2518
org.springframework.cache.jcache.interceptor.AbstractCacheOperationTests	EMPTY	0	0	0	11	EMPTY	0	0	0	9
org.springframework.cache.jcache.interceptor.AnnotationCacheOperationSourceTests	OK	16	16	0	795	OK	16	16	0	144
org.springframework.cache.jcache.interceptor.CachePutOperationTests	OK	6	6	0	145	OK	6	6	0	87
org.springframework.cache.jcache.interceptor.CacheRemoveAllOperationTests	OK	2	2	0	65	OK	2	2	0	36
org.springframework.cache.jcache.interceptor.CacheRemoveOperationTests	OK	2	2	0	90	OK	2	2	0	47
org.springframework.cache.jcache.interceptor.CacheResolverAdapterTests	OK	2	2	0	217	OK	2	2	0	158
org.springframework.cache.jcache.interceptor.CacheResultOperationTests	OK	7	7	0	122	OK	7	7	0	34
org.springframework.cache.jcache.interceptor.JCacheErrorHandlerTests	OK	6	6	0	4784	OK	6	6	0	1000
org.springframework.cache.jcache.interceptor.JCacheInterceptorTests	OK	5	5	0	185	OK	5	5	0	79
org.springframework.cache.jcache.interceptor.JCacheKeyGeneratorTests	OK	3	3	0	2590	OK	3	3	0	327
org.springframework.cache.transaction.AbstractTransactionSupportingCacheManagerTests	EMPTY	0	0	0	11	EMPTY	0	0	0	7
org.springframework.cache.transaction.TransactionAwareCacheDecoratorTests	OK	15	15	0	180	OK	15	15	0	78
org.springframework.context.annotation.AbstractCircularImportDetectionTests	EMPTY	0	0	0	16	EMPTY	0	0	0	762
org.springframework.context.annotation.AnnotationConfigApplicationContextTests	FAIL	36	35	1	3550	OK	35	35	0	2335
org.springframework.context.annotation.ClassPathBeanDefinitionScannerTests	OK	30	30	0	6442	OK	30	30	0	976
org.springframework.context.annotation.ClassPathFactoryBeanDefinitionScannerTests	OK	1	1	0	1261	OK	1	1	0	221
org.springframework.context.annotation.ClassPathScanningCandidateComponentProviderTests	OK	36	36	0	3516	OK	36	36	0	2220
org.springframework.context.annotation.CommonAnnotationBeanPostProcessorTests	FAIL	21	20	1	962	OK	21	21	0	87
org.springframework.context.annotation.CommonAnnotationBeanRegistrationAotContributionTests	OK	8	8	0	57437	OK	8	8	0	7036
org.springframework.context.annotation.ComponentScanAndImportAnnotationInteractionTests	OK	6	6	0	1778	OK	6	6	0	223
org.springframework.context.annotation.ComponentScanAnnotationIntegrationTests	OK	25	25	0	26040	OK	25	25	0	2570
org.springframework.context.annotation.ComponentScanAnnotationRecursionTests	OK	2	2	0	336	OK	2	2	0	242
org.springframework.context.annotation.ComponentScanParserBeanDefinitionDefaultsTests	TIMEOUT	0	0	0	120000	OK	12	12	0	2938
org.springframework.context.annotation.ComponentScanParserScopedProxyTests	OK	5	5	0	2245	OK	5	5	0	667
org.springframework.context.annotation.ComponentScanParserTests	OK	8	8	0	22204	OK	8	8	0	663
org.springframework.context.annotation.ComponentScanParserWithUserDefinedStrategiesTests	OK	4	4	0	2198	OK	4	4	0	473
org.springframework.context.annotation.ConfigurationClassEnhancerTests	FAIL	5	3	2	111	FAIL	5	4	1	96
org.springframework.context.annotation.ConfigurationClassPostConstructAndAutowiringTests	FAIL	2	1	1	485	OK	2	2	0	85
org.springframework.context.annotation.ConfigurationClassPostProcessorAotContributionTests	OK	20	20	0	110410	OK	20	20	0	8540
org.springframework.context.annotation.ConfigurationClassPostProcessorTests	FAIL	85	82	3	8141	OK	85	85	0	4210
org.springframework.context.annotation.DoubleScanTests	OK	1	1	0	765	OK	1	1	0	339
org.springframework.context.annotation.EnableAspectJAutoProxyTests	OK	5	5	0	5115	OK	5	5	0	819
org.springframework.context.annotation.ImportSelectorTests	OK	9	9	0	40144	OK	9	9	0	4156
org.springframework.context.annotation.InitDestroyMethodLifecycleTests	OK	11	11	0	31673	OK	11	11	0	7236
org.springframework.context.annotation.PropertySourceAnnotationTests	OK	25	25	0	7412	OK	25	25	0	454
org.springframework.context.annotation.RoleAndDescriptionAnnotationTests	OK	3	3	0	683	OK	3	3	0	64
org.springframework.context.annotation.SimpleScanTests	FAIL	1	0	1	101	OK	1	1	0	479
org.springframework.context.annotation.Spr15275Tests	FAIL	6	4	2	892	OK	6	6	0	248
org.springframework.context.annotation.Spr6602Tests	FAIL	2	1	1	1113	OK	2	2	0	36
org.springframework.context.annotation.beanregistrar.BeanRegistrarConfigurationTests	OK	12	12	0	1513	OK	12	12	0	339
org.springframework.context.annotation.configuration.ImportTests	OK	16	16	0	1410	OK	16	16	0	346
org.springframework.context.annotation.configuration.spr8955.Spr8955Tests	OK	1	1	0	100	OK	1	1	0	25
org.springframework.context.annotation.configuration.spr9031.Spr9031Tests	OK	2	2	0	217	OK	2	2	0	39
org.springframework.context.annotation.jsr330.ClassPathBeanDefinitionScannerJsr330ScopeIntegrationTests	OK	10	10	0	3365	OK	10	10	0	2304
org.springframework.context.annotation.scope.ClassPathBeanDefinitionScannerScopeIntegrationTests	OK	9	9	0	2658	OK	9	9	0	2233
org.springframework.context.annotation.spr10546.Spr10546Tests	OK	10	10	0	1887	OK	10	10	0	400
org.springframework.context.annotation.spr12233.Spr12233Tests	OK	1	1	0	170	OK	1	1	0	30
org.springframework.context.annotation.spr12334.Spr12334Tests	OK	1	1	0	121	OK	1	1	0	43
org.springframework.context.annotation.spr16756.Spr16756Tests	OK	1	1	0	178	OK	1	1	0	35
org.springframework.context.annotation.spr8761.Spr8761Tests	OK	1	1	0	149	OK	1	1	0	30
org.springframework.context.annotation.spr8808.Spr8808Tests	OK	1	1	0	115	OK	1	1	0	8
org.springframework.context.aot.ApplicationContextAotGeneratorTests	TIMEOUT	0	0	0	120000	OK	40	40	0	24294
org.springframework.context.aot.CglibClassHandlerTests	OK	3	3	0	65	OK	3	3	0	2967
org.springframework.context.aot.KotlinReflectionBeanRegistrationAotProcessorTests	OK	4	4	0	791	OK	4	4	0	4946
org.springframework.context.aot.ReflectiveProcessorAotContributionBuilderTests	OK	6	6	0	367	OK	6	6	0	2243
org.springframework.context.aot.ReflectiveProcessorBeanFactoryInitializationAotProcessorTests	OK	9	9	0	801	OK	9	9	0	4110
org.springframework.context.aot.RuntimeHintsBeanFactoryInitializationAotProcessorTests	OK	6	6	0	1935	OK	6	6	0	1341
org.springframework.context.config.ContextNamespaceHandlerTests	OK	9	9	0	2452	OK	9	9	0	1445
org.springframework.context.event.AbstractApplicationEventListenerTests	EMPTY	0	0	0	10	EMPTY	0	0	0	14
org.springframework.context.event.EventPublicationInterceptorTests	OK	5	5	0	291	OK	5	5	0	507
org.springframework.context.expression.ApplicationContextExpressionTests	OK	7	7	0	905	OK	7	7	0	924
org.springframework.context.generator.ApplicationContextAotGeneratorRuntimeHintsTests	OK	5	0	0	71	OK	5	0	0	75
org.springframework.context.groovy.GroovyBeanDefinitionReaderTests	FAIL	36	35	1	86233	OK	36	36	0	6268
org.springframework.context.index.processor.CandidateComponentsIndexerTests	FAIL	24	0	24	18153	FAIL	24	0	24	3428
org.springframework.context.index.processor.PropertiesMarshallerTests	OK	2	2	0	238	OK	2	2	0	1220
org.springframework.core.AbstractReflectionParameterNameDiscovererKotlinTests	EMPTY	0	0	0	12	EMPTY	0	0	0	898
org.springframework.core.BridgeMethodResolverTests	FAIL	29	26	3	552	OK	29	29	0	401
org.springframework.core.GenericTypeResolverTests	FAIL	25	24	1	369	OK	25	25	0	1509
org.springframework.core.ResolvableTypeTests	FAIL	162	161	1	5853	OK	162	162	0	638
org.springframework.core.SortedPropertiesTests	OK	11	11	0	378	OK	11	11	0	358
org.springframework.core.annotation.AnnotatedElementUtilsTests	FAIL	82	81	1	1610	OK	82	82	0	108
org.springframework.core.annotation.MergedAnnotationsTests	FAIL	178	177	1	4168	OK	178	178	0	1349
org.springframework.core.annotation.MultipleComposedAnnotationsOnSingleAnnotatedElementTests	FAIL	19	17	1	313	OK	19	18	0	18
org.springframework.core.annotation.NestedRepeatableAnnotationsTests	FAIL	12	2	10	508	OK	12	12	0	12
org.springframework.core.codec.ResourceRegionEncoderTests	OK	6	6	0	234	OK	6	6	0	1964
org.springframework.core.convert.converter.DefaultConversionServiceTests	OK	152	152	0	5224	OK	152	152	0	1259
org.springframework.core.env.EnvironmentSystemIntegrationTests	OK	29	29	0	4658	OK	29	29	0	2088
org.springframework.core.io.ModuleResourceTests	OK	3	3	0	61	OK	3	3	0	1330
org.springframework.core.io.PathResourceTests	FAIL	38	27	11	2137	FAIL	38	27	11	1581
org.springframework.core.io.ResourceTests	FAIL	68	66	2	2707	OK	68	68	0	275
org.springframework.core.io.buffer.DataBufferTests	TIMEOUT	0	0	0	120000	OK	294	294	0	427
org.springframework.core.io.support.PathMatchingResourcePatternResolverTests	FAIL	22	15	7	10668	FAIL	22	17	5	3467
org.springframework.core.io.support.ResourceArrayPropertyEditorTests	OK	6	6	0	259	OK	6	6	0	942
org.springframework.core.io.support.SpringFactoriesLoaderTests	FAIL	33	31	2	1128	FAIL	33	31	2	2541
org.springframework.core.retry.RetryPolicyTests	FAIL	23	22	1	900	OK	23	23	0	69
org.springframework.core.retry.RetryTemplateTests	OK	24	24	0	2250	OK	24	24	0	1537
org.springframework.core.task.SimpleAsyncTaskExecutorTests	OK	12	12	0	2033	OK	12	12	0	3195
org.springframework.core.test.io.support.MockSpringFactoriesLoaderTests	OK	4	4	0	182	OK	4	4	0	2317
org.springframework.core.test.tools.ClassFileTests	OK	4	4	0	143	OK	4	4	0	1600
org.springframework.core.test.tools.ClassFilesTests	OK	11	11	0	235	OK	11	11	0	54
org.springframework.core.test.tools.CompilationExceptionTests	OK	5	5	0	315	OK	5	5	0	133
org.springframework.core.test.tools.CompiledTests	OK	14	14	0	13334	OK	14	14	0	2331
org.springframework.core.test.tools.DynamicClassFileObjectTests	OK	3	3	0	137	OK	3	3	0	41
org.springframework.core.test.tools.DynamicJavaFileManagerTests	OK	11	11	0	1507	OK	11	11	0	2156
org.springframework.core.test.tools.DynamicJavaFileObjectTests	OK	2	2	0	88	OK	2	2	0	49
org.springframework.core.test.tools.DynamicResourceFileObjectTests	OK	5	5	0	69	OK	5	5	0	20
org.springframework.core.test.tools.ResourceFileTests	OK	3	3	0	42	OK	3	3	0	25
org.springframework.core.test.tools.ResourceFilesTests	OK	14	14	0	159	OK	14	14	0	37
org.springframework.core.test.tools.SourceFileAssertTests	OK	4	4	0	105	OK	4	4	0	126
org.springframework.core.test.tools.SourceFileTests	FAIL	14	12	2	260	FAIL	14	12	2	67
org.springframework.core.test.tools.SourceFilesTests	OK	14	14	0	197	OK	14	14	0	369
org.springframework.core.test.tools.TestCompilerTests	OK	22	22	0	34640	OK	22	22	0	6484
org.springframework.core.type.AbstractAnnotationMetadataTests	EMPTY	0	0	0	10	EMPTY	0	0	0	6
org.springframework.core.type.AbstractClassMetadataMemberClassTests	EMPTY	0	0	0	9	EMPTY	0	0	0	23
org.springframework.core.type.AbstractMethodMetadataTests	EMPTY	0	0	0	12	EMPTY	0	0	0	7
org.springframework.ejb.config.JeeNamespaceHandlerTests	OK	9	9	0	2587	OK	9	9	0	1406
org.springframework.expression.spel.AbstractExpressionTests	EMPTY	0	0	0	81	EMPTY	0	0	0	1414
org.springframework.expression.spel.ArrayConstructorTests	OK	8	8	0	468	OK	8	8	0	1564
org.springframework.expression.spel.ConstructorInvocationTests	OK	7	7	0	418	OK	7	7	0	3007
org.springframework.expression.spel.EvaluationTests	OK	101	101	0	11165	OK	101	101	0	4383
org.springframework.expression.spel.LiteralTests	OK	17	17	0	279	OK	17	17	0	1284
org.springframework.expression.spel.MethodInvocationTests	FAIL	23	21	2	1243	OK	23	23	0	372
org.springframework.expression.spel.OperatorTests	OK	33	33	0	1315	OK	33	33	0	414
org.springframework.expression.spel.ParsingTests	OK	80	80	0	1547	OK	80	80	0	582
org.springframework.expression.spel.SpelCompilationCoverageTests	FAIL	162	161	1	16253	OK	162	162	0	3959
org.springframework.expression.spel.SpelDocumentationTests	OK	46	46	0	1775	OK	46	46	0	275
org.springframework.expression.spel.SpelReproTests	OK	99	99	0	2795	OK	99	99	0	1757
org.springframework.expression.spel.VariableAndFunctionTests	OK	16	16	0	799	OK	16	16	0	310
org.springframework.expression.spel.ast.InlineCollectionTests	OK	18	18	0	321	OK	18	18	0	117
org.springframework.expression.spel.standard.SpelCompilerTests	OK	3	3	0	492	OK	3	3	0	2696
org.springframework.expression.spel.standard.SpelParserTests	OK	28	28	0	505	OK	28	28	0	123
org.springframework.format.datetime.standard.DateTimeFormattingTests	FAIL	61	58	3	4275	OK	61	61	0	190
org.springframework.format.datetime.standard.InstantFormatterTests	FAIL	40	30	10	1893	OK	40	40	0	33
org.springframework.http.ContentDispositionTests	FAIL	34	33	1	755	OK	34	34	0	452
org.springframework.http.MediaTypeTests	OK	28	28	0	515	OK	28	28	0	1222
