11.3134	org.springframework.web.reactive.result.method.annotation.RequestMappingViewResolutionIntegrationTests	20104	1777
11.5135	org.springframework.web.reactive.result.method.annotation.RequestMappingDataBindingIntegrationTests	15313	1330
11.8726	org.springframework.web.reactive.result.view.script.JythonScriptTemplateTests	34395	2897
12.1313	org.springframework.orm.jpa.hibernate.HibernateMultiEntityManagerFactoryIntegrationTests	5265	434
12.1457	org.springframework.web.servlet.mvc.method.annotation.FragmentRenderingStreamTests	32344	2663
12.5983	org.springframework.jms.listener.adapter.MessageListenerAdapterTests	5770	458
12.7857	org.springframework.jdbc.support.JdbcTransactionManagerTests	2327	182
12.9286	org.springframework.context.annotation.ConfigurationClassPostProcessorAotContributionTests	110410	8540
12.9991	org.springframework.orm.jpa.support.InjectionCodeGeneratorTests	96635	7434
13.5185	org.springframework.web.reactive.result.view.freemarker.FreeMarkerConfigurerTests	365	27
14.3750	org.springframework.context.annotation.spr8808.Spr8808Tests	115	8
14.4192	org.springframework.web.service.registry.GroupsMetadataValueDelegateTests	115887	8037
15.3770	org.springframework.scripting.config.ScriptingDefaultsTests	10318	671
16.3260	org.springframework.context.annotation.PropertySourceAnnotationTests	7412	454
16.4714	org.springframework.test.context.support.TestPropertySourceUtilsTests	31938	1939
17.2378	org.springframework.aop.scope.ScopedProxyBeanRegistrationAotProcessorTests	50748	2944
20.1914	org.springframework.web.reactive.result.method.annotation.MessageReaderArgumentResolverTests	13185	653
22.9749	org.springframework.web.servlet.mvc.method.annotation.ServletAnnotationControllerHandlerMethodTests	78758	3428
28.1044	org.springframework.web.servlet.view.script.JythonScriptTemplateTests	47918	1705
33.4902	org.springframework.context.annotation.ComponentScanParserTests	22204	663
34.7000	org.springframework.beans.factory.aot.BeanRegistrationAotContributionTests	694	20
47.0690	org.springframework.orm.jpa.support.SharedEntityManagerFactoryTests	1365	29
123.1237	org.springframework.test.context.groovy.RelativePathGroovySpringContextTests	11943	97
128.7437	org.springframework.beans.factory.aot.CodeWarningsTests	50725	394
