org.springframework.orm.jpa.AbstractEntityManagerFactoryBeanTests	EMPTY	EMPTY	0	0	0	988
org.springframework.orm.jpa.AbstractEntityManagerFactoryIntegrationTests	EMPTY	EMPTY	0	0	0	1449
org.springframework.orm.jpa.support.PersistenceAnnotationBeanPostProcessorAotContributionTests	TIMEOUT	OK	8	8	0	14842
org.springframework.orm.jpa.support.PersistenceInjectionTests	FAIL	OK	27	27	0	706
org.springframework.oxm.AbstractMarshallerTests	EMPTY	EMPTY	0	0	0	1302
org.springframework.oxm.AbstractUnmarshallerTests	EMPTY	EMPTY	0	0	0	1009
org.springframework.oxm.jaxb.Jaxb2UnmarshallerTests	FAIL	FAIL	12	0	12	1051
org.springframework.r2dbc.connection.init.AbstractDatabasePopulatorTests	EMPTY	EMPTY	0	0	0	1372
org.springframework.r2dbc.core.AbstractDatabaseClientIntegrationTests	EMPTY	EMPTY	0	0	0	978
org.springframework.r2dbc.core.AbstractTransactionalDatabaseClientIntegrationTests	EMPTY	EMPTY	0	0	0	2018
org.springframework.scheduling.concurrent.AbstractSchedulingTaskExecutorTests	EMPTY	EMPTY	0	0	0	9
org.springframework.scheduling.quartz.QuartzSupportTests	FAIL	OK	17	9	0	1939
org.springframework.scripting.bsh.BshScriptFactoryTests	FAIL	FAIL	18	5	13	1323
org.springframework.scripting.groovy.GroovyAspectTests	FAIL	OK	4	4	0	1841
org.springframework.scripting.groovy.GroovyScriptFactoryTests	FAIL	OK	38	38	0	5460
org.springframework.test.context.aot.AbstractAotTests	EMPTY	EMPTY	0	0	0	1293
org.springframework.test.context.aot.AotIntegrationTests	FAIL	OK	4	2	0	76084
org.springframework.test.context.aot.TestClassScannerTests	TIMEOUT	OK	7	7	0	7698
org.springframework.test.context.aot.TestContextAotGeneratorIntegrationTests	FAIL	OK	4	4	0	46707
org.springframework.test.context.aot.samples.basic.AbstractSpringJupiterParameterizedClassTests	EMPTY	EMPTY	0	0	0	99
org.springframework.test.context.async.AsyncMethodsSpringTestContextIntegrationTests	EMPTY	EMPTY	0	0	0	11
org.springframework.test.context.bean.override.mockito.AbstractMockitoBeanNestedAndTypeHierarchiesWithSuperclassPresentTwiceTests	EMPTY	EMPTY	0	0	0	22
org.springframework.test.context.bean.override.mockito.AbstractMockitoBeanWithInterfacePresentTwiceTests	EMPTY	EMPTY	0	0	0	58
org.springframework.test.context.bean.override.mockito.integration.AbstractMockitoBeanAndGenericsIntegrationTests	EMPTY	EMPTY	0	0	0	2
org.springframework.test.context.env.AbstractExplicitPropertiesFileTests	EMPTY	EMPTY	0	0	0	156
org.springframework.test.context.env.ExplicitPropertiesFileTestPropertySourceTests	FAIL	FAIL	13	6	7	1474
org.springframework.test.context.env.repeatable.AbstractRepeatableTestPropertySourceTests	EMPTY	EMPTY	0	0	0	13
org.springframework.test.context.jdbc.AbstractTransactionalTests	EMPTY	EMPTY	0	0	0	17
org.springframework.test.context.jdbc.merging.AbstractSqlMergeModeTests	EMPTY	EMPTY	0	0	0	25
org.springframework.test.context.junit.jupiter.defaultmethods.GenericComicCharactersInterfaceDefaultMethodsTests	EMPTY	EMPTY	0	0	0	19
org.springframework.test.context.junit.jupiter.event.ParallelApplicationEventsIntegrationTests	FAIL	OK	2	2	0	589
org.springframework.test.context.junit.jupiter.generics.GenericComicCharactersTests	EMPTY	EMPTY	0	0	0	15
org.springframework.test.context.junit.jupiter.parallel.ParallelExecutionSpringExtensionTests	TIMEOUT	OK	10	10	0	15331
org.springframework.test.context.litemode.AbstractTransactionalAnnotatedConfigClassTests	EMPTY	EMPTY	0	0	0	12
org.springframework.test.context.orm.jpa.JpaEntityListenerTests	FAIL	OK	4	4	0	4943
org.springframework.test.context.orm.jpa.JpaPersonRepositoryTests	FAIL	OK	2	2	0	3776
org.springframework.test.context.support.AbstractContextConfigurationUtilsTests	EMPTY	EMPTY	0	0	0	22
org.springframework.test.context.testng.transaction.ejb.AbstractEjbTxDaoTestNGTests	EMPTY	EMPTY	0	0	0	45
org.springframework.test.context.transaction.AbstractTransactionalSpringTests	EMPTY	EMPTY	0	0	0	1349
org.springframework.test.context.transaction.ejb.AbstractEjbTxDaoTests	EMPTY	EMPTY	0	0	0	28
org.springframework.test.context.web.AbstractBasicWacTests	EMPTY	EMPTY	0	0	0	10
