module	class
core/spring-boot	org.springframework.boot.convert.ApplicationConversionServiceTests
core/spring-boot	org.springframework.boot.env.ConfigTreePropertySourceTests
core/spring-boot	org.springframework.boot.ssl.pem.PemSslStoreTests
core/spring-boot	org.springframework.boot.system.ApplicationTempTests
core/spring-boot	org.springframework.boot.util.LambdaSafeTests
core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.ssl.FileWatcherTests
core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.ssl.CertificateMatcherTests
module/spring-boot-actuator	org.springframework.boot.actuate.endpoint.invoke.convert.ConversionServiceParameterValueMapperTests
module/spring-boot-actuator	org.springframework.boot.actuate.info.GitInfoContributorTests
module/spring-boot-devtools	org.springframework.boot.devtools.restart.ChangeableUrlsTests
module/spring-boot-devtools	org.springframework.boot.devtools.restart.classloader.RestartClassLoaderTests
module/spring-boot-http-client	org.springframework.boot.http.client.SimpleClientHttpRequestFactoryBuilderTests
module/spring-boot-integration	org.springframework.boot.integration.actuate.endpoint.IntegrationGraphEndpointWebIntegrationTests
module/spring-boot-hibernate	org.springframework.boot.hibernate.autoconfigure.HibernateJpaAutoConfigurationTests
module/spring-boot-ldap	org.springframework.boot.ldap.autoconfigure.embedded.EmbeddedLdapAutoConfigurationTests
module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.JerseyEndpointRequestIntegrationTests
module/spring-boot-security-oauth2-resource-server	org.springframework.boot.security.oauth2.server.resource.autoconfigure.OAuth2ResourceServerAutoConfigurationTests
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.actuate.endpoint.web.WebMvcHealthEndpointAdditionalPathIntegrationTests
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.error.BasicErrorControllerDirectMockMvcTests
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.error.BasicErrorControllerIntegrationTests
module/spring-boot-webservices	org.springframework.boot.webservices.client.WebServiceMessageSenderFactoryTests
core/spring-boot	org.springframework.boot.logging.log4j2.Log4J2LoggingSystemTests
module/spring-boot-cloudfoundry	org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.servlet.CloudFoundryActuatorAutoConfigurationTests
module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests
module/spring-boot-quartz	org.springframework.boot.quartz.actuate.endpoint.QuartzEndpointWebIntegrationTests
module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.ManagementWebSecurityAutoConfigurationTests
