module	class	vm	rc	state	wall_s	tests	fail	note
core	org.keycloak.AtHashTest	cratonvm	0	PASS	1.8	2	0	
core	org.keycloak.AtHashTest	hotspot	0	PASS	0.4	2	0	-
core	org.keycloak.HashTest	cratonvm	0	PASS	1.7	1	0	
core	org.keycloak.HashTest	hotspot	0	PASS	0.3	1	0	-
core	org.keycloak.JsonParserTest	cratonvm	0	PASS	7.5	10	0	
core	org.keycloak.JsonParserTest	hotspot	0	PASS	0.8	10	0	-
core	org.keycloak.KeyPairVerifierTest	cratonvm	1	FAIL	1.8	0	1	1) org.keycloak.KeyPairVerifierTest
core	org.keycloak.KeyPairVerifierTest	hotspot	1	FAIL	0.4	0	1	-
core	org.keycloak.RSAVerifierTest	cratonvm	1	FAIL	2.0	0	1	1) org.keycloak.RSAVerifierTest
core	org.keycloak.RSAVerifierTest	hotspot	1	FAIL	0.4	0	1	-
core	org.keycloak.SkeletonKeyTokenTest	cratonvm	0	PASS	17.7	5	0	
core	org.keycloak.SkeletonKeyTokenTest	hotspot	0	PASS	3.6	5	0	-
core	org.keycloak.authentication.x509.CertificateIdentityExtractorTest	cratonvm	1	FAIL	2.1	0	1	1) org.keycloak.authentication.x509.CertificateIdentityExtractorTest
core	org.keycloak.authentication.x509.CertificateIdentityExtractorTest	hotspot	1	FAIL	0.4	0	1	-
core	org.keycloak.jose.HmacTest	cratonvm	1	FAIL	1.7	0	1	1) org.keycloak.jose.HmacTest
core	org.keycloak.jose.HmacTest	hotspot	1	FAIL	0.3	0	1	-
core	org.keycloak.jose.JWETest	cratonvm	1	FAIL	1.6	0	1	1) org.keycloak.jose.JWETest
core	org.keycloak.jose.JWETest	hotspot	1	FAIL	0.3	0	1	-
core	org.keycloak.jose.JsonWebTokenTest	cratonvm	0	PASS	2.3	9	0	
core	org.keycloak.jose.JsonWebTokenTest	hotspot	0	PASS	0.6	9	0	-
core	org.keycloak.jose.jwk.AKPJWKTest	cratonvm	1	FAIL	1.4	0	1	1) org.keycloak.jose.jwk.AKPJWKTest
core	org.keycloak.jose.jwk.AKPJWKTest	hotspot	1	FAIL	0.4	0	1	-
core	org.keycloak.jose.jwk.JWKTest	cratonvm	1	FAIL	1.6	0	1	1) org.keycloak.jose.jwk.JWKTest
core	org.keycloak.jose.jwk.JWKTest	hotspot	1	FAIL	0.4	0	1	-
core	org.keycloak.jose.jwk.JWKUtilTest	cratonvm	1	FAIL	1.8	6	1	1) testBigInteger380bit48bytesErrorFor256(org.keycloak.jose.jwk.JWKUtilTest)
core	org.keycloak.jose.jwk.JWKUtilTest	hotspot	1	FAIL	0.5	6	1	-
core	org.keycloak.json.StringListMapDeserializerTest	cratonvm	0	PASS	4.6	4	0	
core	org.keycloak.json.StringListMapDeserializerTest	hotspot	0	PASS	0.9	4	0	-
core	org.keycloak.representations.IDTokenTest	cratonvm	0	PASS	4.2	1	0	
core	org.keycloak.representations.IDTokenTest	hotspot	0	PASS	1.1	1	0	-
core	org.keycloak.representations.UserInfoTest	cratonvm	0	PASS	4.2	1	0	
core	org.keycloak.representations.UserInfoTest	hotspot	0	PASS	1.1	1	0	-
core	org.keycloak.representations.workflows.WorkflowDefinitionTest	cratonvm	0	PASS	6.3	2	0	
core	org.keycloak.representations.workflows.WorkflowDefinitionTest	hotspot	0	PASS	1.1	2	0	-
core	org.keycloak.sdjwt.ArrayElementDisclosureTest	cratonvm	0	PASS	5.2	2	0	
core	org.keycloak.sdjwt.ArrayElementDisclosureTest	hotspot	0	PASS	1.2	2	0	-
core	org.keycloak.sdjwt.ArrayElementSerializationTest	cratonvm	0	PASS	3.3	1	0	
core	org.keycloak.sdjwt.ArrayElementSerializationTest	hotspot	0	PASS	1.0	1	0	-
core	org.keycloak.sdjwt.ClaimVerifierTest	cratonvm	0	PASS	3.3	4	0	
core	org.keycloak.sdjwt.ClaimVerifierTest	hotspot	0	PASS	0.8	4	0	-
core	org.keycloak.sdjwt.DisclosureRedListTest	cratonvm	0	PASS	3.6	7	0	
core	org.keycloak.sdjwt.DisclosureRedListTest	hotspot	0	PASS	1.2	7	0	-
core	org.keycloak.sdjwt.IssuerSignedJWTTest	cratonvm	0	PASS	5.6	4	0	
core	org.keycloak.sdjwt.IssuerSignedJWTTest	hotspot	0	PASS	1.3	4	0	-
core	org.keycloak.sdjwt.JsonClaimsetTest	cratonvm	0	PASS	3.6	1	0	
core	org.keycloak.sdjwt.JsonClaimsetTest	hotspot	0	PASS	1.2	1	0	-
core	org.keycloak.sdjwt.JsonNodeComparisonTest	cratonvm	0	PASS	3.6	1	0	
core	org.keycloak.sdjwt.JsonNodeComparisonTest	hotspot	0	PASS	1.1	1	0	-
core	org.keycloak.sdjwt.SdJWTSamplesTest	cratonvm	0	PASS	5.6	4	0	
core	org.keycloak.sdjwt.SdJWTSamplesTest	hotspot	0	PASS	1.4	4	0	-
core	org.keycloak.sdjwt.SdJwsTest	cratonvm	1	FAIL	5.2	0	1	1) org.keycloak.sdjwt.SdJwsTest
core	org.keycloak.sdjwt.SdJwsTest	hotspot	1	FAIL	1.4	0	1	-
core	org.keycloak.sdjwt.SdJwtCreationAndSigningTest	cratonvm	1	FAIL	3.1	0	1	1) org.keycloak.sdjwt.SdJwtCreationAndSigningTest
core	org.keycloak.sdjwt.SdJwtCreationAndSigningTest	hotspot	1	FAIL	0.8	0	1	-
core	org.keycloak.sdjwt.SdJwtTest	cratonvm	0	PASS	19.8	2	0	
core	org.keycloak.sdjwt.SdJwtTest	hotspot	0	PASS	1.5	2	0	-
core	org.keycloak.sdjwt.SdJwtUtilsTest	cratonvm	0	PASS	3.5	6	0	
core	org.keycloak.sdjwt.SdJwtUtilsTest	hotspot	0	PASS	1.1	6	0	-
core	org.keycloak.sdjwt.SdJwtVerificationTest	cratonvm	1	FAIL	5.1	0	1	1) org.keycloak.sdjwt.SdJwtVerificationTest
core	org.keycloak.sdjwt.SdJwtVerificationTest	hotspot	1	FAIL	1.4	0	1	-
core	org.keycloak.sdjwt.TimeClaimVerifierTest	cratonvm	0	PASS	3.9	15	0	
core	org.keycloak.sdjwt.TimeClaimVerifierTest	hotspot	0	PASS	1.1	15	0	-
core	org.keycloak.sdjwt.UndisclosedClaimTest	cratonvm	0	PASS	3.4	1	0	
core	org.keycloak.sdjwt.UndisclosedClaimTest	hotspot	0	PASS	1.1	1	0	-
core	org.keycloak.sdjwt.consumer.JwtVcMetadataTrustedSdJwtIssuerTest	cratonvm	1	FAIL	3.2	0	1	1) org.keycloak.sdjwt.consumer.JwtVcMetadataTrustedSdJwtIssuerTest
core	org.keycloak.sdjwt.consumer.JwtVcMetadataTrustedSdJwtIssuerTest	hotspot	1	FAIL	0.8	0	1	-
