"Class","Status","WallSec","Exit","Result"
"ZonedDateTimeTest","PARTIAL","65,2",,"@@RESULT org.hibernate.orm.test.type.temporal.ZonedDateTimeTest found=608 started=608 ok=404 failed=0 aborted=204 skipped=0 ms=64687"
"OffsetDateTimeTest","PARTIAL","51,5",,"@@RESULT org.hibernate.orm.test.type.temporal.OffsetDateTimeTest found=488 started=488 ok=324 failed=0 aborted=164 skipped=0 ms=51055"
"ASTParserLoadingTest","PASS","21,4",,"@@RESULT org.hibernate.orm.test.hql.ASTParserLoadingTest found=106 started=106 ok=106 failed=0 aborted=0 skipped=0 ms=21016"
"OracleInlineMutationStrategyIdTest","PASS","41,9",,"@@RESULT org.hibernate.orm.test.bulkid.OracleInlineMutationStrategyIdTest found=6 started=6 ok=6 failed=0 aborted=0 skipped=0 ms=41441"
