index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.condition.ConditionalOnCheckpointRestoreTests	craton	on	0	PASS	1.629	2	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/core_spring-boot-autoconfigure.org.springframework.boot.autoconfigure.condition.ConditionalOnCheckpointRestoreTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/core_spring-boot-autoconfigure.org.springframework.boot.autoconfigure.condition.ConditionalOnCheckpointRestoreTests.err.log	
2	module/spring-boot-tomcat	org.springframework.boot.tomcat.autoconfigure.TomcatWebServerFactoryCustomizerTests	craton	on	0	PASS	44.681	66	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/module_spring-boot-tomcat.org.springframework.boot.tomcat.autoconfigure.TomcatWebServerFactoryCustomizerTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/module_spring-boot-tomcat.org.springframework.boot.tomcat.autoconfigure.TomcatWebServerFactoryCustomizerTests.err.log	
3	module/spring-boot-gson	org.springframework.boot.gson.autoconfigure.Gson210AutoConfigurationTests	craton	on	0	PASS	1.605	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/module_spring-boot-gson.org.springframework.boot.gson.autoconfigure.Gson210AutoConfigurationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/module_spring-boot-gson.org.springframework.boot.gson.autoconfigure.Gson210AutoConfigurationTests.err.log	
4	core/spring-boot	org.springframework.boot.diagnostics.analyzer.NoSuchMethodFailureAnalyzerTests	craton	on	0	PASS	3.209	4	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/core_spring-boot.org.springframework.boot.diagnostics.analyzer.NoSuchMethodFailureAnalyzerTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/core_spring-boot.org.springframework.boot.diagnostics.analyzer.NoSuchMethodFailureAnalyzerTests.err.log	
5	loader/spring-boot-loader	org.springframework.boot.loader.zip.ZipContentTests	craton	on	0	PASS	174.485	29	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/loader_spring-boot-loader.org.springframework.boot.loader.zip.ZipContentTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-residual21-20260805-s3/all-jit/logs/loader_spring-boot-loader.org.springframework.boot.loader.zip.ZipContentTests.err.log	
