"Class","Status","WallSec","Exit","Result"
"ZonedDateTimeTest","TIMEOUT","900,7","-1",""
"OffsetDateTimeTest","PASS","244,9",,"@@RESULT org.hibernate.orm.test.type.temporal.OffsetDateTimeTest found=488 started=488 ok=324 failed=0 aborted=164 skipped=0 ms=244376"
"OracleInlineMutationStrategyIdTest","PASS","119,3",,"@@RESULT org.hibernate.orm.test.bulkid.OracleInlineMutationStrategyIdTest found=6 started=6 ok=6 failed=0 aborted=0 skipped=0 ms=118886"
"ASTParserLoadingTest","PASS","137,9",,"@@RESULT org.hibernate.orm.test.hql.ASTParserLoadingTest found=106 started=106 ok=106 failed=0 aborted=0 skipped=0 ms=137446"
"LockTest","PASS","10,6",,"@@RESULT org.hibernate.orm.test.jpa.lock.LockTest found=23 started=15 ok=15 failed=0 aborted=0 skipped=8 ms=10157"
