index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	module/spring-boot-kafka	org.springframework.boot.kafka.autoconfigure.KafkaAutoConfigurationIntegrationTests	craton	on	0	EMPTY	6.891	0	0	0	3	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-kafka.org.springframework.boot.kafka.autoconfigure.KafkaAutoCo-a353bbf57c97.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-kafka.org.springframework.boot.kafka.autoconfigure.KafkaAutoCo-a353bbf57c97.err.log	
2	module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests	craton	on	0	PASS	183.132	17	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-jooq.org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-jooq.org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests.err.log	
3	module/spring-boot-pulsar	org.springframework.boot.pulsar.autoconfigure.PulsarAutoConfigurationTests	craton	on	0	PASS	414.203	74	0	0	2	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-pulsar.org.springframework.boot.pulsar.autoconfigure.PulsarAut-72a68e29781a.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-pulsar.org.springframework.boot.pulsar.autoconfigure.PulsarAut-72a68e29781a.err.log	
4	module/spring-boot-tomcat	org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests	craton	on	0	PASS	554.085	132	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-tomcat.org.springframework.boot.tomcat.servlet.TomcatServletWe-3257b00b67ee.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-tomcat.org.springframework.boot.tomcat.servlet.TomcatServletWe-3257b00b67ee.err.log	
5	module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests	craton	on	0	PASS	510.180	113	0	0	2	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-jetty.org.springframework.boot.jetty.servlet.JettyServletWebSe-2b982ecd0797.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-failhang-20260812\all-jit\logs\module_spring-boot-jetty.org.springframework.boot.jetty.servlet.JettyServletWebSe-2b982ecd0797.err.log	
