suite	vm	rc	state	wall_s	note
h2-testall-fast	cratonvm	0	PASS	4.3	[2m2026-06-18T09:00:49.819542Z[0m [33m WARN[0m [2mcratonvm_vm::vm::vm_util
h2-testall-fast	hotspot	0	PASS	3.9	00:00.072 total
hibernate-smoke	cratonvm	1	FAIL	11.5	Exception in thread "main" java/lang/ArrayStoreException: java/lang/annotation/AnnotationProxy
hibernate-smoke	hotspot	-	SKIP	-	CratonVM not PASS
gpu-bench-cpu	cratonvm	0	PASS	4.3	[cratonvm] System.exit(0) called — process terminating
gpu-bench-cpu	hotspot	0	PASS	0.7	correctness=OK
pool:kafka-codec	cratonvm	0	PASS	3.01	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:kafka-codec	hotspot	1	REGRESS	0.52	-
pool:spring-boot-run	cratonvm	0	PASS	8.16	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:spring-boot-run	hotspot	1	REGRESS	0.69	-
pool:tomcat-server-info	cratonvm	0	PASS	4.30	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:tomcat-server-info	hotspot	1	REGRESS	0.38	-
