suite	vm	rc	state	wall_s	note
h2-testall-fast	cratonvm	0	PASS	1.3	[2m2026-06-18T11:18:30.452164Z[0m [33m WARN[0m [2mcratonvm_vm::jit::conserv
h2-testall-fast	hotspot	0	PASS	0.3	00:00.029 total
hibernate-smoke	cratonvm	0	PASS	6.5	DEBUG [org.hibernate.boot.registry.internal.BootstrapServiceRegistryImpl] Implic
hibernate-smoke	hotspot	0	PASS	2.1	INFO: HHH10001008: Cleaning up connection pool [jdbc:h2:mem:smoke]
gpu-bench-cpu	cratonvm	0	PASS	1.5	[cratonvm] System.exit(0) called — process terminating
gpu-bench-cpu	hotspot	0	PASS	0.2	correctness=OK
pool:kafka-codec	cratonvm	0	PASS	1.56	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:kafka-codec	hotspot	1	REGRESS	0.12	-
pool:spring-boot-run	cratonvm	0	PASS	2.96	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:spring-boot-run	hotspot	1	REGRESS	0.15	-
pool:tomcat-server-info	cratonvm	0	PASS	1.30	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:tomcat-server-info	hotspot	1	REGRESS	0.09	-
