"Class","Status","WallSec","Exit","Result"
"OffsetDateTimeTest","TIMEOUT","900,9","-1",""
"ZonedDateTimeTest","TIMEOUT","900,8","-1",""
"OracleInlineMutationStrategyIdTest","PASS","188",,"@@RESULT org.hibernate.orm.test.bulkid.OracleInlineMutationStrategyIdTest found=6 started=6 ok=6 failed=0 aborted=0 skipped=0 ms=187207"
"ASTParserLoadingTest","PASS","180,8",,"@@RESULT org.hibernate.orm.test.hql.ASTParserLoadingTest found=106 started=106 ok=106 failed=0 aborted=0 skipped=0 ms=180185"
"LockTest","FAIL","18,9",,"@@RESULT org.hibernate.orm.test.jpa.lock.LockTest found=23 started=15 ok=14 failed=1 aborted=0 skipped=8 ms=18413"
