suite	vm	rc	state	wall_s	note
h2-testall-fast	cratonvm	0	PASS	2.0	[2m2026-06-11T14:53:13.097899Z[0m [33m WARN[0m [2mcratonvm_vm::vm::vm_util
h2-testall-fast	hotspot	0	PASS	0.6	00:00.040 total
wildfly-health	cratonvm	0	PASS	21.1	ERROR [org.jboss.as.controller] WFLYCTL0362: Capabilities required by resource '/subsystem=health' are not available:
wildfly-health	hotspot	0	PASS	2.2	RESULT tests=2 failures=0 ignored=0 ms=1656 ok=true
elasticsearch-version	cratonvm	0	PASS	10.0	Error
elasticsearch-version	hotspot	0	PASS	1.5	-
gpu-bench-cpu	cratonvm	0	PASS	2.1	[cratonvm] System.exit(0) called — process terminating
gpu-bench-cpu	hotspot	0	PASS	0.3	correctness=OK
gpu-offload-probe	cratonvm	0	PASS	2.7	OUT0=0 OUTN=1048600
gpu-offload-probe	hotspot	0	PASS	0.3	OUT0=0 OUTN=1048600
bc-asn1-regression	cratonvm	0	PASS	58.6	All tests successful.
bc-asn1-regression	hotspot	0	PASS	1.4	All tests successful.
bc-crypto-prng	cratonvm	0	PASS	66.3	All tests successful.
bc-crypto-prng	hotspot	0	PASS	0.8	All tests successful.
commons-math-junit-probe	cratonvm	0	PASS	7.8	EXEC_FOUND=4 SUCCEEDED=4 FAILED=0
commons-math-junit-probe	hotspot	0	PASS	0.9	EXEC_FOUND=1 SUCCEEDED=0 FAILED=1
dacapo-avrora	cratonvm	0	PASS	8.7	PASSED
dacapo-avrora	hotspot	127	N/S	1.4	FAILED
pool:kafka-codec	cratonvm	0	PASS	2.15	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:kafka-codec	hotspot	1	REGRESS	0.15	-
pool:spring-boot-run	cratonvm	0	PASS	5.69	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:spring-boot-run	hotspot	1	REGRESS	0.15	-
pool:tomcat-server-info	cratonvm	0	PASS	1.97	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:tomcat-server-info	hotspot	1	REGRESS	0.14	-
